Container,StartTime,EndTime
quic-go-dockerhalf-clientA-1,02:58:06.370044085,00:00:00
quic-go-dockerhalf-clientB-1,02:58:08.282335007,02:58:08.331186884
quic-go-dockerhalf-clientA-1,03:00:18.612199396,03:00:20.642687
quic-go-dockerhalf-clientB-1,03:00:20.634675858,00:00:00
quic-go-dockerhalf-clientA-1,03:02:30.493018035,03:02:32.070127166
quic-go-dockerhalf-clientB-1,03:02:32.062315839,00:00:00
quic-go-dockerhalf-clientB-1,03:04:44.619405601,00:00:00
quic-go-dockerhalf-clientA-1,03:04:42.248840983,03:04:44.625879348
quic-go-dockerhalf-clientA-1,03:06:54.4442268,00:00:00
quic-go-dockerhalf-clientB-1,03:06:56.556115389,03:06:56.565603235
quic-go-dockerhalf-clientA-1,03:09:06.960170423,00:00:00
quic-go-dockerhalf-clientB-1,03:09:09.322919984,03:09:09.328228797
quic-go-dockerhalf-clientA-1,03:11:18.04576733,03:11:20.221466474
quic-go-dockerhalf-clientB-1,03:11:20.21685864,00:00:00
quic-go-dockerhalf-clientA-1,03:13:30.625702216,03:13:32.68858807
quic-go-dockerhalf-clientB-1,03:13:32.683778389,00:00:00
quic-go-dockerhalf-clientA-1,03:15:42.596697366,03:15:44.434469862
quic-go-dockerhalf-clientB-1,03:15:44.429622031,00:00:00
quic-go-dockerhalf-clientB-1,03:17:56.540385554,00:00:00
quic-go-dockerhalf-clientA-1,03:17:54.617617801,03:17:56.546759146
quic-go-dockerhalf-clientB-1,03:20:09.696000667,03:20:09.707907701
quic-go-dockerhalf-clientA-1,03:20:07.07881231,00:00:00
quic-go-dockerhalf-clientA-1,03:22:18.61032704,03:22:20.212804994
quic-go-dockerhalf-clientB-1,03:22:20.204600642,00:00:00
quic-go-dockerhalf-clientA-1,03:24:31.873042461,00:00:00
quic-go-dockerhalf-clientB-1,03:24:34.386725065,03:24:34.398349786
quic-go-dockerhalf-clientB-1,03:26:43.877743467,03:26:43.883825769
quic-go-dockerhalf-clientA-1,03:26:42.360482476,00:00:00
quic-go-dockerhalf-clientB-1,03:28:56.218513341,00:00:00
quic-go-dockerhalf-clientA-1,03:28:54.157987097,03:28:56.225063874
quic-go-dockerhalf-clientA-1,03:31:07.583522077,03:31:09.706391544
quic-go-dockerhalf-clientB-1,03:31:09.700592302,00:00:00
quic-go-dockerhalf-clientB-1,03:33:22.306331606,03:33:22.316647064
quic-go-dockerhalf-clientA-1,03:33:19.16217027,00:00:00
quic-go-dockerhalf-clientA-1,03:35:31.983900711,00:00:00
quic-go-dockerhalf-clientB-1,03:35:35.272825328,03:35:35.280750086
quic-go-dockerhalf-clientA-1,03:37:43.691255236,03:37:45.704562776
quic-go-dockerhalf-clientB-1,03:37:45.693545517,00:00:00
quic-go-dockerhalf-clientA-1,03:39:55.567936305,00:00:00
quic-go-dockerhalf-clientB-1,03:39:57.869472949,03:39:57.875948062
quic-go-dockerhalf-clientA-1,03:42:07.412068714,00:00:00
quic-go-dockerhalf-clientB-1,03:42:09.980406926,03:42:09.997753234
quic-go-dockerhalf-clientB-1,03:44:21.196674296,00:00:00
quic-go-dockerhalf-clientA-1,03:44:19.240771651,03:44:21.208793493
quic-go-dockerhalf-clientB-1,03:46:33.138912601,00:00:00
quic-go-dockerhalf-clientA-1,03:46:31.039922458,03:46:33.144281044
quic-go-dockerhalf-clientA-1,03:48:42.784380993,00:00:00
quic-go-dockerhalf-clientB-1,03:48:44.87440319,03:48:44.887106582
quic-go-dockerhalf-clientA-1,03:50:54.38010516,00:00:00
quic-go-dockerhalf-clientB-1,03:50:56.506959286,03:50:56.516923508
quic-go-dockerhalf-clientA-1,03:53:06.362349123,00:00:00
quic-go-dockerhalf-clientB-1,03:53:08.050197854,03:53:08.058452547
quic-go-dockerhalf-clientA-1,03:55:17.95724849,00:00:00
quic-go-dockerhalf-clientB-1,03:55:19.650612666,03:55:19.655677306
quic-go-dockerhalf-clientB-1,03:57:31.267521047,03:57:31.27394714
quic-go-dockerhalf-clientA-1,03:57:29.499124917,00:00:00
quic-go-dockerhalf-clientB-1,03:59:43.4176604,00:00:00
quic-go-dockerhalf-clientA-1,03:59:41.803369607,03:59:43.423459541
quic-go-dockerhalf-clientA-1,04:01:53.277860998,00:00:00
quic-go-dockerhalf-clientB-1,04:01:54.547234927,04:01:54.553182682
quic-go-dockerhalf-clientB-1,04:04:07.723742121,00:00:00
quic-go-dockerhalf-clientA-1,04:04:05.803093432,04:04:07.737442964
quic-go-dockerhalf-clientB-1,04:06:18.344297636,04:06:18.349803866
quic-go-dockerhalf-clientA-1,04:06:16.441384539,00:00:00
quic-go-dockerhalf-clientB-1,04:08:30.865901739,04:08:30.872162299
quic-go-dockerhalf-clientA-1,04:08:28.949584244,00:00:00
quic-go-dockerhalf-clientB-1,04:10:42.284841936,04:10:42.291233853
quic-go-dockerhalf-clientA-1,04:10:40.5766612,00:00:00
quic-go-dockerhalf-clientA-1,04:12:52.904870195,00:00:00
quic-go-dockerhalf-clientB-1,04:12:54.513216436,04:12:54.519244772
quic-go-dockerhalf-clientB-1,04:15:05.806727481,00:00:00
quic-go-dockerhalf-clientA-1,04:15:04.228293598,04:15:05.815016983
quic-go-dockerhalf-clientA-1,04:17:16.570030718,04:17:18.188909006
quic-go-dockerhalf-clientB-1,04:17:18.164281331,00:00:00
quic-go-dockerhalf-clientB-1,04:19:31.06656662,04:19:31.08250737
quic-go-dockerhalf-clientA-1,04:19:28.928323508,00:00:00
quic-go-dockerhalf-clientB-1,04:21:42.482873998,04:21:42.490023501
quic-go-dockerhalf-clientA-1,04:21:40.320627264,00:00:00
quic-go-dockerhalf-clientB-1,04:23:53.687093185,00:00:00
quic-go-dockerhalf-clientA-1,04:23:52.180934689,04:23:53.692924038
