Container,StartTime,EndTime
quic-go-dockerhalf-clientA-1,09:31:07.847718978,09:31:09.908281868
quic-go-dockerhalf-clientB-1,09:31:09.90248785,00:00:00
quic-go-dockerhalf-clientB-1,09:33:20.801968716,09:33:20.809404157
quic-go-dockerhalf-clientA-1,09:33:18.763103972,00:00:00
quic-go-dockerhalf-clientA-1,09:35:31.477270174,00:00:00
quic-go-dockerhalf-clientB-1,09:35:33.520270174,09:35:33.526686353
quic-go-dockerhalf-clientB-1,09:37:44.415032915,00:00:00
quic-go-dockerhalf-clientA-1,09:37:42.760767476,09:37:44.446398447
quic-go-dockerhalf-clientB-1,09:39:56.326964551,00:00:00
quic-go-dockerhalf-clientA-1,09:39:55.040030995,09:39:56.333775627
quic-go-dockerhalf-clientA-1,09:42:06.389791615,00:00:00
quic-go-dockerhalf-clientB-1,09:42:08.533152043,09:42:08.540226063
quic-go-dockerhalf-clientB-1,09:44:20.447141015,09:44:20.454011749
quic-go-dockerhalf-clientA-1,09:44:18.202179357,00:00:00
quic-go-dockerhalf-clientA-1,09:46:30.89215412,00:00:00
quic-go-dockerhalf-clientB-1,09:46:32.686422339,09:46:32.693352458
quic-go-dockerhalf-clientA-1,09:48:44.832183462,09:48:48.358940307
quic-go-dockerhalf-clientB-1,09:48:48.351090191,00:00:00
quic-go-dockerhalf-clientB-1,09:50:55.356500973,00:00:00
quic-go-dockerhalf-clientA-1,09:50:53.632352744,09:50:55.361219706
quic-go-dockerhalf-clientB-1,09:53:07.296264615,09:53:07.301739591
quic-go-dockerhalf-clientA-1,09:53:05.473420434,00:00:00
quic-go-dockerhalf-clientA-1,09:55:17.284685711,09:55:19.335106352
quic-go-dockerhalf-clientB-1,09:55:19.327283724,00:00:00
quic-go-dockerhalf-clientB-1,09:57:32.008476549,09:57:32.031966391
quic-go-dockerhalf-clientA-1,09:57:30.012150429,00:00:00
quic-go-dockerhalf-clientB-1,09:59:42.778803546,09:59:42.784063022
quic-go-dockerhalf-clientB-1,09:59:42.778803546,00:00:00
quic-go-dockerhalf-clientB-1,10:01:54.334076669,00:00:00
