Container,StartTime,EndTime
quic-go-dockerhalf-clientB-1,05:27:36.209962535,00:00:00
quic-go-dockerhalf-clientA-1,05:27:34.530803681,05:27:36.618063554
quic-go-dockerhalf-clientA-1,05:29:45.473105192,00:00:00
quic-go-dockerhalf-clientB-1,05:29:47.003863547,05:29:47.411318698
quic-go-dockerhalf-clientB-1,05:31:58.941595361,00:00:00
quic-go-dockerhalf-clientA-1,05:31:57.517427019,05:31:59.353684662
quic-go-dockerhalf-clientB-1,05:34:10.686974009,05:34:11.094219087
quic-go-dockerhalf-clientA-1,05:34:09.172412976,00:00:00
quic-go-dockerhalf-clientA-1,05:36:20.439958878,00:00:00
quic-go-dockerhalf-clientB-1,05:36:22.477333682,05:36:22.893532097
quic-go-dockerhalf-clientB-1,05:38:33.943300725,00:00:00
quic-go-dockerhalf-clientA-1,05:38:32.609877461,05:38:34.351065632
quic-go-dockerhalf-clientB-1,05:40:46.145542348,05:40:46.554527065
quic-go-dockerhalf-clientA-1,05:40:44.077999186,05:40:46.555579203
quic-go-dockerhalf-clientA-1,05:42:55.142719169,05:42:57.600069494
quic-go-dockerhalf-clientB-1,05:42:57.188198332,00:00:00
quic-go-dockerhalf-clientB-1,05:45:08.587672472,00:00:00
quic-go-dockerhalf-clientA-1,05:45:07.074946277,05:45:09.002044146
quic-go-dockerhalf-clientA-1,05:47:19.671176413,05:47:21.651383912
quic-go-dockerhalf-clientB-1,05:47:21.243194721,05:47:21.651334607
quic-go-dockerhalf-clientA-1,05:49:31.668938386,05:49:34.252433162
quic-go-dockerhalf-clientB-1,05:49:33.837977685,00:00:00
quic-go-dockerhalf-clientA-1,05:51:43.284857295,00:00:00
quic-go-dockerhalf-clientB-1,05:51:45.284857295,05:51:45.70731067
quic-go-dockerhalf-clientA-1,05:53:54.539252779,00:00:00
quic-go-dockerhalf-clientB-1,05:53:55.98552972,05:53:56.405986182
quic-go-dockerhalf-clientA-1,05:56:06.340253219,05:56:08.573042543
quic-go-dockerhalf-clientB-1,05:56:08.166004159,00:00:00
quic-go-dockerhalf-clientB-1,05:58:19.462929075,00:00:00
quic-go-dockerhalf-clientA-1,05:58:17.59772812,05:58:19.879958924
quic-go-dockerhalf-clientB-1,06:00:31.898555862,06:00:32.314400325
quic-go-dockerhalf-clientA-1,06:00:30.097694449,00:00:00
quic-go-dockerhalf-clientA-1,06:02:41.22837653,00:00:00
quic-go-dockerhalf-clientB-1,06:02:42.805287327,06:02:43.212578065
quic-go-dockerhalf-clientB-1,06:04:54.735183221,00:00:00
quic-go-dockerhalf-clientA-1,06:04:52.752788423,06:04:55.15372222
quic-go-dockerhalf-clientB-1,06:07:05.914397055,00:00:00
quic-go-dockerhalf-clientA-1,06:07:04.45487918,06:07:06.337252679
quic-go-dockerhalf-clientB-1,06:09:17.643277992,06:09:18.26064215
quic-go-dockerhalf-clientA-1,06:09:15.889453052,00:00:00
quic-go-dockerhalf-clientA-1,06:11:28.236057019,00:00:00
quic-go-dockerhalf-clientB-1,06:11:29.985633867,06:11:30.401676298
quic-go-dockerhalf-clientA-1,06:13:40.059862886,00:00:00
quic-go-dockerhalf-clientB-1,06:13:42.603854544,06:13:43.012180826
quic-go-dockerhalf-clientA-1,06:15:51.785519846,00:00:00
quic-go-dockerhalf-clientB-1,06:15:53.568037079,06:15:53.980578784
quic-go-dockerhalf-clientA-1,06:18:03.530663628,06:18:05.755466543
quic-go-dockerhalf-clientB-1,06:18:05.3155679,00:00:00
quic-go-dockerhalf-clientB-1,06:20:17.129840833,06:20:17.542800199
quic-go-dockerhalf-clientA-1,06:20:15.130535091,00:00:00
quic-go-dockerhalf-clientA-1,06:22:26.561710288,06:22:28.258834807
quic-go-dockerhalf-clientB-1,06:22:27.848705674,00:00:00
quic-go-dockerhalf-clientA-1,06:24:38.247767626,06:24:40.713820416
quic-go-dockerhalf-clientB-1,06:24:40.23695586,00:00:00
quic-go-dockerhalf-clientB-1,06:26:51.698305249,06:26:52.108439805
quic-go-dockerhalf-clientA-1,06:26:50.059730802,00:00:00
quic-go-dockerhalf-clientB-1,06:29:05.159943485,06:29:05.568567719
quic-go-dockerhalf-clientA-1,06:29:03.186688336,00:00:00
quic-go-dockerhalf-clientB-1,06:31:15.382430236,06:31:15.818068851
quic-go-dockerhalf-clientA-1,06:31:13.296072342,06:31:16.009161231
quic-go-dockerhalf-clientA-1,06:33:27.569564405,00:00:00
quic-go-dockerhalf-clientB-1,06:33:29.876767762,06:33:30.313733823
quic-go-dockerhalf-clientB-1,06:35:39.454872899,00:00:00
quic-go-dockerhalf-clientA-1,06:35:37.591366186,06:35:39.865653773
quic-go-dockerhalf-clientA-1,06:37:48.559512264,00:00:00
quic-go-dockerhalf-clientB-1,06:37:51.272913202,06:37:51.68721966
quic-go-dockerhalf-clientA-1,06:40:00.579424673,00:00:00
quic-go-dockerhalf-clientB-1,06:40:02.212427963,06:40:02.62556618
quic-go-dockerhalf-clientB-1,06:42:14.298345185,06:42:14.708827657
quic-go-dockerhalf-clientA-1,06:42:12.332914094,00:00:00
quic-go-dockerhalf-clientA-1,06:44:24.115891409,06:44:26.219163385
quic-go-dockerhalf-clientB-1,06:44:25.811269781,00:00:00
quic-go-dockerhalf-clientB-1,06:46:37.842011583,06:46:38.252757812
quic-go-dockerhalf-clientB-1,06:46:37.842011583,00:00:00
quic-go-dockerhalf-clientA-1,06:48:47.672038221,06:48:49.748572476
quic-go-dockerhalf-clientB-1,06:48:49.333271271,00:00:00
quic-go-dockerhalf-clientB-1,06:51:01.320101482,00:00:00
quic-go-dockerhalf-clientA-1,06:51:00.410127086,06:51:01.737492628
quic-go-dockerhalf-clientB-1,06:53:13.946994218,00:00:00
quic-go-dockerhalf-clientA-1,06:53:11.969837345,06:53:14.357705654
quic-go-dockerhalf-clientB-1,06:55:24.67277177,06:55:25.086117003
quic-go-dockerhalf-clientA-1,06:55:22.761311637,00:00:00
quic-go-dockerhalf-clientA-1,06:57:34.014206049,06:57:36.293582736
quic-go-dockerhalf-clientB-1,06:57:35.878616157,06:57:36.29241623
quic-go-dockerhalf-clientA-1,06:59:46.99338766,00:00:00
quic-go-dockerhalf-clientB-1,06:59:47.531532939,06:59:47.941670962
quic-go-dockerhalf-clientB-1,07:01:59.420709458,00:00:00
quic-go-dockerhalf-clientA-1,07:01:57.887599732,07:01:59.827820712
quic-go-dockerhalf-clientA-1,07:04:11.256822229,00:00:00
quic-go-dockerhalf-clientB-1,07:04:13.881993274,07:04:14.297644056
quic-go-dockerhalf-clientA-1,07:06:21.92268966,00:00:00
quic-go-dockerhalf-clientB-1,07:06:23.640403445,07:06:24.051203007
quic-go-dockerhalf-clientB-1,07:08:35.338236015,00:00:00
quic-go-dockerhalf-clientA-1,07:08:33.539889722,07:08:35.757543645
quic-go-dockerhalf-clientB-1,07:10:47.290878648,00:00:00
quic-go-dockerhalf-clientA-1,07:10:45.336362512,07:10:47.706090471
quic-go-dockerhalf-clientB-1,07:12:58.447281145,07:12:58.856783103
quic-go-dockerhalf-clientA-1,07:12:57.039988664,07:12:58.857803705
quic-go-dockerhalf-clientB-1,07:15:10.870493969,07:15:11.28054534
quic-go-dockerhalf-clientA-1,07:15:08.958821685,07:15:11.2805037
quic-go-dockerhalf-clientA-1,07:17:21.197576857,00:00:00
quic-go-dockerhalf-clientB-1,07:17:22.051932822,07:17:22.461644685
quic-go-dockerhalf-clientA-1,07:19:32.345175681,00:00:00
quic-go-dockerhalf-clientB-1,07:19:33.818954947,07:19:34.230207781
quic-go-dockerhalf-clientA-1,07:21:43.344546941,07:21:46.067924017
quic-go-dockerhalf-clientB-1,07:21:45.657013781,00:00:00
quic-go-dockerhalf-clientB-1,07:23:57.842038116,00:00:00
quic-go-dockerhalf-clientA-1,07:23:56.223374278,07:23:58.25484724
quic-go-dockerhalf-clientA-1,07:26:07.840423094,00:00:00
quic-go-dockerhalf-clientB-1,07:26:09.623798761,07:26:10.030546747
quic-go-dockerhalf-clientA-1,07:28:19.047482447,07:28:21.426103868
quic-go-dockerhalf-clientB-1,07:28:21.013846374,00:00:00
quic-go-dockerhalf-clientB-1,07:30:32.675749832,07:30:33.087795102
quic-go-dockerhalf-clientA-1,07:30:30.488777087,00:00:00
quic-go-dockerhalf-clientB-1,07:32:44.423798953,00:00:00
quic-go-dockerhalf-clientA-1,07:32:42.933418233,07:32:44.839299476
quic-go-dockerhalf-clientA-1,07:34:54.36867225,07:34:56.63067697
quic-go-dockerhalf-clientB-1,07:34:56.221671703,00:00:00
quic-go-dockerhalf-clientA-1,07:37:06.061630064,00:00:00
quic-go-dockerhalf-clientB-1,07:37:07.779042121,07:37:08.194363541
quic-go-dockerhalf-clientA-1,07:39:17.627275948,00:00:00
quic-go-dockerhalf-clientB-1,07:39:19.18631712,07:39:19.594909515
quic-go-dockerhalf-clientA-1,07:41:29.28995771,07:41:31.311963082
