Container,StartTime,EndTime
quic-go-dockerhalf-clientB-1,11:50:05.424731337,11:50:05.833731349
quic-go-dockerhalf-clientA-1,11:50:03.413379583,00:00:00
quic-go-dockerhalf-clientA-1,11:52:14.553420704,11:52:16.162822208
quic-go-dockerhalf-clientB-1,11:52:15.755727926,00:00:00
quic-go-dockerhalf-clientB-1,11:54:27.669832146,11:54:28.08306673
quic-go-dockerhalf-clientA-1,11:54:25.812043632,00:00:00
quic-go-dockerhalf-clientA-1,11:56:37.494826534,00:00:00
quic-go-dockerhalf-clientB-1,11:56:39.321378473,11:56:39.734446931
quic-go-dockerhalf-clientB-1,11:58:51.038324481,00:00:00
quic-go-dockerhalf-clientA-1,11:58:49.153819758,11:58:51.446848867
quic-go-dockerhalf-clientB-1,12:01:03.06486123,12:01:03.484149126
quic-go-dockerhalf-clientA-1,12:01:01.107456159,00:00:00
quic-go-dockerhalf-clientB-1,12:03:14.617038829,12:03:15.02466254
quic-go-dockerhalf-clientA-1,12:03:12.650196276,00:00:00
quic-go-dockerhalf-clientA-1,12:05:24.15735436,12:05:26.341993948
quic-go-dockerhalf-clientB-1,12:05:25.934458794,00:00:00
quic-go-dockerhalf-clientB-1,12:07:37.986280328,00:00:00
quic-go-dockerhalf-clientA-1,12:07:36.274451495,12:07:38.396283955
quic-go-dockerhalf-clientA-1,12:09:48.442300876,12:09:51.276130949
quic-go-dockerhalf-clientB-1,12:09:50.667771974,12:09:51.277889888
quic-go-dockerhalf-clientA-1,12:11:59.610665122,12:12:01.677706751
quic-go-dockerhalf-clientB-1,12:12:01.269655411,00:00:00
quic-go-dockerhalf-clientB-1,12:14:18.034165242,12:14:18.511475766
quic-go-dockerhalf-clientA-1,12:14:13.905297998,00:00:00
quic-go-dockerhalf-clientB-1,12:16:26.897028426,12:16:27.314011852
quic-go-dockerhalf-clientB-1,12:16:26.897028426,00:00:00
quic-go-dockerhalf-clientB-1,12:18:38.507502251,12:18:38.939280905
quic-go-dockerhalf-clientA-1,12:18:37.502582432,00:00:00
quic-go-dockerhalf-clientA-1,12:20:48.687500736,12:20:51.294038318
quic-go-dockerhalf-clientB-1,12:20:50.677406734,00:00:00
quic-go-dockerhalf-clientB-1,12:23:03.221396729,12:23:03.629528626
quic-go-dockerhalf-clientA-1,12:23:01.479812007,00:00:00
quic-go-dockerhalf-clientB-1,12:25:14.786681674,00:00:00
quic-go-dockerhalf-clientA-1,12:25:13.16646219,12:25:15.210123212
quic-go-dockerhalf-clientB-1,12:27:26.667450187,12:27:27.087983208
quic-go-dockerhalf-clientA-1,12:27:25.190111238,00:00:00
quic-go-dockerhalf-clientA-1,12:29:36.985073835,00:00:00
quic-go-dockerhalf-clientB-1,12:29:38.762907597,12:29:39.195853614
quic-go-dockerhalf-clientB-1,12:31:50.438021529,00:00:00
quic-go-dockerhalf-clientA-1,12:31:48.516563761,12:31:50.845968467
quic-go-dockerhalf-clientB-1,12:34:07.805064673,00:00:00
quic-go-dockerhalf-clientA-1,12:34:03.014078327,12:34:08.221655007
quic-go-dockerhalf-clientB-1,12:36:15.479345763,12:36:15.888029059
quic-go-dockerhalf-clientA-1,12:36:13.096554157,00:00:00
quic-go-dockerhalf-clientA-1,12:38:25.348302166,00:00:00
quic-go-dockerhalf-clientB-1,12:38:27.960187694,12:38:28.380171447
quic-go-dockerhalf-clientB-1,12:40:38.420496808,12:40:38.836503646
quic-go-dockerhalf-clientA-1,12:40:36.689337811,12:40:38.840280215
quic-go-dockerhalf-clientB-1,12:42:49.584065139,12:42:49.99666249
quic-go-dockerhalf-clientA-1,12:42:48.202019437,00:00:00
quic-go-dockerhalf-clientA-1,12:44:59.855960669,00:00:00
quic-go-dockerhalf-clientB-1,12:45:02.141250804,12:45:02.554331507
quic-go-dockerhalf-clientA-1,12:47:12.731975921,00:00:00
quic-go-dockerhalf-clientB-1,12:47:13.030234135,12:47:13.438514593
quic-go-dockerhalf-clientB-1,12:49:26.077604547,12:49:26.486551438
quic-go-dockerhalf-clientA-1,12:49:23.973749911,00:00:00
quic-go-dockerhalf-clientA-1,12:51:34.992905172,12:51:37.388045845
quic-go-dockerhalf-clientB-1,12:51:36.976801945,00:00:00
quic-go-dockerhalf-clientB-1,12:53:53.044307057,00:00:00
quic-go-dockerhalf-clientA-1,12:53:48.210224778,12:53:53.466988369
quic-go-dockerhalf-clientA-1,12:56:00.724996285,12:56:04.194156661
quic-go-dockerhalf-clientB-1,12:56:03.764067216,00:00:00
quic-go-dockerhalf-clientB-1,12:58:14.247960761,00:00:00
quic-go-dockerhalf-clientA-1,12:58:12.152378281,12:58:14.658064631
quic-go-dockerhalf-clientA-1,13:00:23.797892448,13:00:26.087820213
quic-go-dockerhalf-clientB-1,13:00:25.480394494,00:00:00
quic-go-dockerhalf-clientA-1,13:02:35.432726649,13:02:37.63773812
quic-go-dockerhalf-clientB-1,13:02:37.219690359,00:00:00
quic-go-dockerhalf-clientA-1,13:04:47.569063887,00:00:00
quic-go-dockerhalf-clientB-1,13:04:49.71299534,13:04:50.126590846
quic-go-dockerhalf-clientA-1,13:06:58.387648444,13:07:00.469585094
quic-go-dockerhalf-clientB-1,13:07:00.056814301,00:00:00
quic-go-dockerhalf-clientB-1,13:09:13.253140609,13:09:13.664276018
quic-go-dockerhalf-clientA-1,13:09:11.350306326,00:00:00
quic-go-dockerhalf-clientB-1,13:11:24.838081872,13:11:25.260550792
quic-go-dockerhalf-clientA-1,13:11:23.113556815,00:00:00
quic-go-dockerhalf-clientB-1,13:13:36.239559848,13:13:36.646684812
quic-go-dockerhalf-clientA-1,13:13:34.671354915,00:00:00
quic-go-dockerhalf-clientA-1,13:15:46.199423591,00:00:00
quic-go-dockerhalf-clientB-1,13:15:47.759333363,13:15:48.17355017
quic-go-dockerhalf-clientA-1,13:17:57.649231724,00:00:00
quic-go-dockerhalf-clientB-1,13:17:59.106923881,13:17:59.513215832
quic-go-dockerhalf-clientB-1,13:20:11.56095943,13:20:11.971442665
quic-go-dockerhalf-clientA-1,13:20:10.057872979,00:00:00
quic-go-dockerhalf-clientA-1,13:22:21.746872345,00:00:00
quic-go-dockerhalf-clientB-1,13:22:23.593194415,13:22:24.887324125
quic-go-dockerhalf-clientA-1,13:24:35.606423431,00:00:00
quic-go-dockerhalf-clientB-1,13:24:37.663518774,13:24:38.082676399
quic-go-dockerhalf-clientA-1,13:26:49.499022868,13:26:51.230298181
quic-go-dockerhalf-clientB-1,13:26:50.820284053,00:00:00
quic-go-dockerhalf-clientB-1,13:29:02.069544765,00:00:00
quic-go-dockerhalf-clientA-1,13:29:00.466843895,13:29:02.476417477
quic-go-dockerhalf-clientB-1,13:31:27.954669682,13:31:28.672775496
quic-go-dockerhalf-clientA-1,13:31:15.994642738,13:31:28.679193058
quic-go-dockerhalf-clientB-1,13:33:29.989395248,00:00:00
quic-go-dockerhalf-clientA-1,13:33:27.315086418,13:33:30.397341229
quic-go-dockerhalf-clientA-1,13:35:42.29810589,00:00:00
quic-go-dockerhalf-clientB-1,13:35:43.793634717,13:35:44.400713227
quic-go-dockerhalf-clientA-1,13:37:54.562263143,13:37:56.906859547
quic-go-dockerhalf-clientB-1,13:37:56.499112504,00:00:00
quic-go-dockerhalf-clientB-1,13:40:07.927281471,00:00:00
quic-go-dockerhalf-clientA-1,13:40:06.587622956,13:40:08.353971326
quic-go-dockerhalf-clientB-1,13:42:20.286240719,13:42:20.892468089
quic-go-dockerhalf-clientA-1,13:42:18.472519371,13:42:20.893507986
quic-go-dockerhalf-clientB-1,13:44:31.370271985,00:00:00
quic-go-dockerhalf-clientA-1,13:44:29.876643471,13:44:31.792196207
quic-go-dockerhalf-clientB-1,13:46:43.116736258,00:00:00
quic-go-dockerhalf-clientA-1,13:46:41.454789955,13:46:43.526269817
quic-go-dockerhalf-clientB-1,13:48:54.60283114,13:48:55.012491416
quic-go-dockerhalf-clientA-1,13:48:53.021975401,13:48:55.011905408
quic-go-dockerhalf-clientB-1,13:51:07.412467965,13:51:07.825436419
quic-go-dockerhalf-clientA-1,13:51:04.854482738,00:00:00
quic-go-dockerhalf-clientA-1,13:53:17.31179364,00:00:00
quic-go-dockerhalf-clientB-1,13:53:18.778355328,13:53:19.18686598
quic-go-dockerhalf-clientB-1,13:55:30.756177487,13:55:31.166939793
quic-go-dockerhalf-clientA-1,13:55:28.747318823,00:00:00
quic-go-dockerhalf-clientA-1,13:57:40.604356294,00:00:00
quic-go-dockerhalf-clientB-1,13:57:42.544760598,13:57:42.95506721
quic-go-dockerhalf-clientA-1,13:59:52.932702333,00:00:00
quic-go-dockerhalf-clientB-1,13:59:54.787317279,13:59:55.193685352
quic-go-dockerhalf-clientB-1,14:02:05.705075273,00:00:00
quic-go-dockerhalf-clientA-1,14:02:04.108599348,14:02:06.122973127
quic-go-dockerhalf-clientB-1,14:04:18.097011573,00:00:00
quic-go-dockerhalf-clientA-1,14:04:16.176501219,14:04:18.50882902
quic-go-dockerhalf-clientA-1,14:06:27.346728437,00:00:00
quic-go-dockerhalf-clientB-1,14:06:29.371372462,14:06:29.779716625
quic-go-dockerhalf-clientA-1,14:08:39.654512664,14:08:42.032070253
quic-go-dockerhalf-clientB-1,14:08:41.62019978,00:00:00
quic-go-dockerhalf-clientB-1,14:10:53.311068036,00:00:00
quic-go-dockerhalf-clientA-1,14:10:51.606218991,14:10:53.721367953
quic-go-dockerhalf-clientA-1,14:13:04.303612571,00:00:00
quic-go-dockerhalf-clientB-1,14:13:06.233904962,14:13:06.65307138
quic-go-dockerhalf-clientA-1,14:15:15.59345079,14:15:17.761718401
quic-go-dockerhalf-clientB-1,14:15:17.345388571,00:00:00
quic-go-dockerhalf-clientA-1,14:17:28.583387129,00:00:00
quic-go-dockerhalf-clientB-1,14:17:29.338498956,14:17:29.759974116
quic-go-dockerhalf-clientB-1,14:19:42.854378553,14:19:43.479957188
quic-go-dockerhalf-clientA-1,14:19:39.82569636,00:00:00
quic-go-dockerhalf-clientA-1,14:21:51.984034036,14:21:53.976970025
quic-go-dockerhalf-clientB-1,14:21:53.569768503,14:21:53.976972069
quic-go-dockerhalf-clientA-1,14:24:02.631403471,00:00:00
quic-go-dockerhalf-clientB-1,14:24:04.075040855,14:24:04.484718142
quic-go-dockerhalf-clientB-1,14:26:17.290332236,00:00:00
quic-go-dockerhalf-clientA-1,14:26:14.410590994,14:26:17.698198723
quic-go-dockerhalf-clientA-1,14:28:26.223360468,14:28:29.318163229
quic-go-dockerhalf-clientB-1,14:28:28.900268161,00:00:00
quic-go-dockerhalf-clientB-1,14:30:40.191635717,14:30:40.600447499
quic-go-dockerhalf-clientA-1,14:30:37.863164791,14:30:40.600283448
quic-go-dockerhalf-clientB-1,14:32:51.431978873,00:00:00
quic-go-dockerhalf-clientA-1,14:32:49.735980761,14:32:51.839236186
quic-go-dockerhalf-clientA-1,14:35:01.321920633,00:00:00
quic-go-dockerhalf-clientB-1,14:35:02.979228606,14:35:03.388852057
quic-go-dockerhalf-clientB-1,14:37:18.744507211,00:00:00
quic-go-dockerhalf-clientA-1,14:37:15.870932111,14:37:19.357034935
quic-go-dockerhalf-clientB-1,14:39:29.034644818,00:00:00
quic-go-dockerhalf-clientA-1,14:39:26.173137697,14:39:29.44354476
