Container,StartTime,EndTime
quic-go-dockerhalf-clientA-1,14:40:57.346591379,00:00:00
quic-go-dockerhalf-clientB-1,14:41:00.050652377,14:41:00.061031764
quic-go-dockerhalf-clientA-1,14:43:08.123188457,00:00:00
quic-go-dockerhalf-clientB-1,14:43:10.086243689,14:43:10.093405455
quic-go-dockerhalf-clientA-1,14:45:19.881233768,00:00:00
quic-go-dockerhalf-clientB-1,14:45:21.528289774,14:45:21.537572341
quic-go-dockerhalf-clientA-1,14:47:31.610926422,14:47:33.515311555
quic-go-dockerhalf-clientB-1,14:47:33.506403639,00:00:00
quic-go-dockerhalf-clientB-1,14:49:44.915770859,14:49:44.923045221
quic-go-dockerhalf-clientA-1,14:49:43.326528239,00:00:00
quic-go-dockerhalf-clientA-1,14:51:55.304814969,00:00:00
quic-go-dockerhalf-clientB-1,14:51:56.716401658,14:51:56.722905211
quic-go-dockerhalf-clientA-1,14:54:06.526654548,14:54:08.541413531
quic-go-dockerhalf-clientB-1,14:54:08.535716376,00:00:00
quic-go-dockerhalf-clientB-1,14:56:20.361958795,14:56:20.36747773
quic-go-dockerhalf-clientA-1,14:56:18.592708535,00:00:00
quic-go-dockerhalf-clientA-1,14:58:30.420208111,00:00:00
quic-go-dockerhalf-clientB-1,14:58:32.476702209,14:58:32.48449494
quic-go-dockerhalf-clientA-1,15:00:42.349585628,00:00:00
quic-go-dockerhalf-clientB-1,15:00:44.175324897,15:00:44.18426384
quic-go-dockerhalf-clientA-1,15:02:53.209801501,15:02:54.750247386
quic-go-dockerhalf-clientB-1,15:02:54.741695413,00:00:00
quic-go-dockerhalf-clientA-1,15:05:04.947764868,15:05:06.907762744
quic-go-dockerhalf-clientB-1,15:05:06.898943134,00:00:00
quic-go-dockerhalf-clientA-1,15:07:17.11309138,15:07:18.956057042
quic-go-dockerhalf-clientB-1,15:07:18.949569349,00:00:00
quic-go-dockerhalf-clientA-1,15:09:28.712864895,00:00:00
quic-go-dockerhalf-clientB-1,15:09:30.290393198,15:09:30.295849081
quic-go-dockerhalf-clientA-1,15:11:40.106699369,15:11:42.107146463
quic-go-dockerhalf-clientB-1,15:11:42.101389604,00:00:00
quic-go-dockerhalf-clientB-1,15:13:54.372381553,00:00:00
quic-go-dockerhalf-clientA-1,15:13:52.51366382,15:13:54.377841609
quic-go-dockerhalf-clientA-1,15:16:03.574997377,15:16:05.17501844
quic-go-dockerhalf-clientB-1,15:16:05.170212687,00:00:00
quic-go-dockerhalf-clientA-1,15:18:15.435908603,00:00:00
quic-go-dockerhalf-clientB-1,15:18:17.272849495,15:18:17.278377142
quic-go-dockerhalf-clientB-1,15:20:29.004513673,15:20:29.010844169
quic-go-dockerhalf-clientA-1,15:20:27.558610348,00:00:00
quic-go-dockerhalf-clientA-1,15:22:38.655312344,00:00:00
quic-go-dockerhalf-clientB-1,15:22:40.3553977,15:22:40.361271549
quic-go-dockerhalf-clientB-1,15:24:52.047223775,15:24:52.05214016
quic-go-dockerhalf-clientA-1,15:24:50.17565465,00:00:00
quic-go-dockerhalf-clientA-1,15:27:03.105166994,00:00:00
quic-go-dockerhalf-clientB-1,15:27:04.568680116,15:27:04.574171647
quic-go-dockerhalf-clientB-1,15:29:15.198230437,15:29:15.204909227
quic-go-dockerhalf-clientA-1,15:29:13.823350113,00:00:00
quic-go-dockerhalf-clientB-1,15:31:27.097905691,15:31:27.104585494
quic-go-dockerhalf-clientA-1,15:31:25.529493686,00:00:00
quic-go-dockerhalf-clientA-1,15:33:39.350080966,15:33:42.372239369
quic-go-dockerhalf-clientB-1,15:33:42.362634701,00:00:00
quic-go-dockerhalf-clientB-1,15:35:50.025238029,15:35:50.030487344
quic-go-dockerhalf-clientA-1,15:35:48.767067467,00:00:00
quic-go-dockerhalf-clientA-1,15:38:01.027791103,00:00:00
quic-go-dockerhalf-clientB-1,15:38:02.839546614,15:38:02.84725419
quic-go-dockerhalf-clientB-1,15:40:13.8975041,00:00:00
quic-go-dockerhalf-clientA-1,15:40:12.216111564,15:40:13.90240822
quic-go-dockerhalf-clientB-1,15:42:25.818384866,15:42:25.823703672
quic-go-dockerhalf-clientA-1,15:42:24.108952492,00:00:00
quic-go-dockerhalf-clientA-1,15:44:35.681046034,15:44:37.038795724
quic-go-dockerhalf-clientB-1,15:44:37.029436853,00:00:00
quic-go-dockerhalf-clientB-1,15:46:49.121855617,00:00:00
quic-go-dockerhalf-clientA-1,15:46:47.164307822,15:46:49.127256721
quic-go-dockerhalf-clientA-1,15:48:58.86366762,00:00:00
quic-go-dockerhalf-clientB-1,15:49:00.62979084,15:49:00.635400448
quic-go-dockerhalf-clientA-1,15:51:10.588146753,00:00:00
quic-go-dockerhalf-clientB-1,15:51:12.611825795,15:51:12.61680969
quic-go-dockerhalf-clientB-1,15:53:23.926263902,00:00:00
quic-go-dockerhalf-clientA-1,15:53:22.132424343,15:53:23.931678054
quic-go-dockerhalf-clientA-1,15:55:33.789283706,15:55:35.72912743
quic-go-dockerhalf-clientB-1,15:55:35.72269137,00:00:00
quic-go-dockerhalf-clientA-1,15:57:45.75117778,15:57:47.651109617
quic-go-dockerhalf-clientB-1,15:57:47.64507414,15:57:47.650022641
quic-go-dockerhalf-clientA-1,15:59:57.604430856,00:00:00
quic-go-dockerhalf-clientB-1,15:59:59.390626123,15:59:59.396192345
quic-go-dockerhalf-clientB-1,16:02:10.802501227,00:00:00
quic-go-dockerhalf-clientA-1,16:02:09.39479508,16:02:10.810491918
quic-go-dockerhalf-clientB-1,16:04:22.638049649,16:04:22.644372233
quic-go-dockerhalf-clientA-1,16:04:20.682161287,00:00:00
quic-go-dockerhalf-clientB-1,16:06:34.236268173,16:06:34.242210461
quic-go-dockerhalf-clientA-1,16:06:32.212901869,00:00:00
quic-go-dockerhalf-clientB-1,16:08:45.67491135,16:08:45.682244739
quic-go-dockerhalf-clientA-1,16:08:43.828137591,00:00:00
quic-go-dockerhalf-clientB-1,16:10:57.544753771,16:10:57.553113629
quic-go-dockerhalf-clientA-1,16:10:55.944753771,00:00:00
quic-go-dockerhalf-clientA-1,16:13:08.005371866,00:00:00
quic-go-dockerhalf-clientB-1,16:13:09.80946843,16:13:09.817495202
quic-go-dockerhalf-clientB-1,16:15:20.638883895,00:00:00
quic-go-dockerhalf-clientA-1,16:15:18.88865957,16:15:20.646726359
quic-go-dockerhalf-clientB-1,16:17:32.098798696,00:00:00
quic-go-dockerhalf-clientA-1,16:17:30.536531636,16:17:32.105631898
quic-go-dockerhalf-clientA-1,16:19:42.29399133,00:00:00
quic-go-dockerhalf-clientB-1,16:19:44.03849794,16:19:44.045409603
quic-go-dockerhalf-clientB-1,16:21:55.987292103,16:21:55.991968097
quic-go-dockerhalf-clientA-1,16:21:54.051309102,00:00:00
quic-go-dockerhalf-clientA-1,16:24:05.649353951,00:00:00
quic-go-dockerhalf-clientB-1,16:24:07.629376402,16:24:07.635580118
quic-go-dockerhalf-clientB-1,16:26:19.42392767,00:00:00
quic-go-dockerhalf-clientA-1,16:26:17.496226671,16:26:19.428640214
quic-go-dockerhalf-clientA-1,16:28:29.236642135,00:00:00
quic-go-dockerhalf-clientB-1,16:28:31.118197865,16:28:31.125963211
quic-go-dockerhalf-clientA-1,16:30:41.163207394,00:00:00
quic-go-dockerhalf-clientB-1,16:30:43.236752398,16:30:43.24190855
quic-go-dockerhalf-clientB-1,16:32:54.112556453,16:32:54.119135935
quic-go-dockerhalf-clientA-1,16:32:52.482194663,00:00:00
quic-go-dockerhalf-clientB-1,16:35:05.124271794,16:35:05.130243939
quic-go-dockerhalf-clientA-1,16:35:03.657160463,00:00:00
quic-go-dockerhalf-clientB-1,16:37:17.275878459,16:37:17.281923499
quic-go-dockerhalf-clientA-1,16:37:15.311563281,00:00:00
quic-go-dockerhalf-clientB-1,16:39:29.04153904,16:39:29.049029103
quic-go-dockerhalf-clientA-1,16:39:27.284906635,00:00:00
quic-go-dockerhalf-clientB-1,16:41:40.77820298,16:41:40.784910589
quic-go-dockerhalf-clientA-1,16:41:38.961565688,00:00:00
quic-go-dockerhalf-clientB-1,16:43:52.449367257,00:00:00
quic-go-dockerhalf-clientA-1,16:43:50.864227376,16:43:52.459288895
quic-go-dockerhalf-clientB-1,16:46:03.64205929,16:46:03.64910025
quic-go-dockerhalf-clientA-1,16:46:02.144779183,00:00:00
quic-go-dockerhalf-clientB-1,16:48:15.519222872,16:48:15.524398271
quic-go-dockerhalf-clientA-1,16:48:14.052715695,00:00:00
quic-go-dockerhalf-clientA-1,16:50:25.103621238,00:00:00
quic-go-dockerhalf-clientB-1,16:50:27.174885261,16:50:27.18091638
quic-go-dockerhalf-clientA-1,16:52:38.055341814,16:52:38.634180588
quic-go-dockerhalf-clientB-1,16:52:38.628570029,00:00:00
quic-go-dockerhalf-clientB-1,16:54:51.260842709,00:00:00
quic-go-dockerhalf-clientB-1,16:54:51.260842709,16:54:51.266432588
quic-go-dockerhalf-clientA-1,16:57:01.367747361,00:00:00
quic-go-dockerhalf-clientB-1,16:57:02.723330821,16:57:02.730406065
quic-go-dockerhalf-clientB-1,16:59:13.645353631,16:59:13.655517391
quic-go-dockerhalf-clientA-1,16:59:11.937376121,00:00:00
quic-go-dockerhalf-clientA-1,17:01:23.811288449,00:00:00
quic-go-dockerhalf-clientB-1,17:01:25.641359672,17:01:25.648713264
quic-go-dockerhalf-clientA-1,17:03:35.426579082,17:03:36.976247686
quic-go-dockerhalf-clientB-1,17:03:36.970005711,00:00:00
quic-go-dockerhalf-clientB-1,17:05:48.783624179,00:00:00
quic-go-dockerhalf-clientA-1,17:05:47.453055532,17:05:48.789490245
quic-go-dockerhalf-clientA-1,17:07:59.61308256,17:08:00.999120168
quic-go-dockerhalf-clientB-1,17:08:00.992962197,00:00:00
quic-go-dockerhalf-clientB-1,17:10:12.074748273,00:00:00
quic-go-dockerhalf-clientA-1,17:10:10.28003401,17:10:12.080132433
quic-go-dockerhalf-clientA-1,17:12:21.966697874,17:12:23.758569923
quic-go-dockerhalf-clientB-1,17:12:23.751490156,00:00:00
quic-go-dockerhalf-clientB-1,17:14:35.557864854,17:14:35.565012051
quic-go-dockerhalf-clientA-1,17:14:33.794774387,00:00:00
quic-go-dockerhalf-clientB-1,17:16:47.498880769,17:16:47.505231641
quic-go-dockerhalf-clientA-1,17:16:45.741269747,00:00:00
quic-go-dockerhalf-clientB-1,17:18:58.203932778,00:00:00
quic-go-dockerhalf-clientA-1,17:18:56.910568854,17:18:58.210243858
quic-go-dockerhalf-clientB-1,17:21:10.66850313,00:00:00
quic-go-dockerhalf-clientB-1,17:21:10.66850313,17:21:10.67371837
quic-go-dockerhalf-clientB-1,17:23:22.323725893,00:00:00
quic-go-dockerhalf-clientA-1,17:23:20.535093136,17:23:22.330865112
quic-go-dockerhalf-clientB-1,17:25:33.955957629,17:25:33.961279271
quic-go-dockerhalf-clientA-1,17:25:32.140146748,00:00:00
quic-go-dockerhalf-clientB-1,17:27:45.160406632,17:27:45.166450193
quic-go-dockerhalf-clientA-1,17:27:43.3216377,00:00:00
quic-go-dockerhalf-clientB-1,17:29:56.85514883,00:00:00
quic-go-dockerhalf-clientA-1,17:29:55.209483284,17:29:56.860470471
quic-go-dockerhalf-clientA-1,17:32:06.770910192,00:00:00
quic-go-dockerhalf-clientB-1,17:32:08.491001141,17:32:08.497037112
quic-go-dockerhalf-clientA-1,17:34:18.160436994,17:34:20.043142653
quic-go-dockerhalf-clientB-1,17:34:20.036856516,00:00:00
quic-go-dockerhalf-clientA-1,17:36:29.868038302,00:00:00
quic-go-dockerhalf-clientB-1,17:36:31.883953607,17:36:31.889922816
quic-go-dockerhalf-clientB-1,17:38:44.000242029,17:38:44.008200868
quic-go-dockerhalf-clientA-1,17:38:42.0029075,00:00:00
quic-go-dockerhalf-clientA-1,17:40:53.910330571,00:00:00
quic-go-dockerhalf-clientB-1,17:40:55.547969594,17:40:55.55315943
quic-go-dockerhalf-clientA-1,17:43:05.236025026,00:00:00
quic-go-dockerhalf-clientB-1,17:43:06.446122785,17:43:06.454540001
quic-go-dockerhalf-clientA-1,17:45:16.923610665,17:45:19.013297955
quic-go-dockerhalf-clientB-1,17:45:19.00763817,00:00:00
quic-go-dockerhalf-clientB-1,17:47:30.47851817,17:47:30.48551594
quic-go-dockerhalf-clientA-1,17:47:28.898406272,00:00:00
quic-go-dockerhalf-clientA-1,17:49:40.690742839,00:00:00
quic-go-dockerhalf-clientB-1,17:49:42.507741631,17:49:42.515569064
quic-go-dockerhalf-clientB-1,17:51:53.688803869,00:00:00
quic-go-dockerhalf-clientA-1,17:51:52.33264484,17:51:53.694897592
quic-go-dockerhalf-clientB-1,17:54:05.638421791,17:54:05.64489789
quic-go-dockerhalf-clientA-1,17:54:03.894869803,17:54:05.64430765
quic-go-dockerhalf-clientB-1,17:56:16.206734261,00:00:00
quic-go-dockerhalf-clientA-1,17:56:15.079233139,17:56:16.212316967
quic-go-dockerhalf-clientA-1,17:58:27.167632722,00:00:00
quic-go-dockerhalf-clientB-1,17:58:29.001684712,17:58:29.007749045
quic-go-dockerhalf-clientB-1,18:00:40.983163786,00:00:00
quic-go-dockerhalf-clientA-1,18:00:38.867754339,18:00:40.988809364
quic-go-dockerhalf-clientA-1,18:02:50.418798496,00:00:00
quic-go-dockerhalf-clientB-1,18:02:52.094916806,18:02:52.100630253
quic-go-dockerhalf-clientB-1,18:05:04.028499829,18:05:04.03425845
quic-go-dockerhalf-clientA-1,18:05:02.105184285,00:00:00
quic-go-dockerhalf-clientA-1,18:07:13.667737697,00:00:00
quic-go-dockerhalf-clientB-1,18:07:15.612762118,18:07:15.619645881
quic-go-dockerhalf-clientB-1,18:09:27.481968043,00:00:00
quic-go-dockerhalf-clientA-1,18:09:25.50483758,18:09:27.487879545
quic-go-dockerhalf-clientA-1,18:11:37.053859821,00:00:00
quic-go-dockerhalf-clientB-1,18:11:38.553463551,18:11:38.558939938
quic-go-dockerhalf-clientB-1,18:13:51.207362175,18:13:51.212992686
quic-go-dockerhalf-clientA-1,18:13:49.251421453,00:00:00
quic-go-dockerhalf-clientA-1,18:16:01.179127567,00:00:00
quic-go-dockerhalf-clientB-1,18:16:02.874181507,18:16:02.880285398
quic-go-dockerhalf-clientB-1,18:18:14.254318622,18:18:14.259613446
quic-go-dockerhalf-clientA-1,18:18:12.351796975,00:00:00
