Container,StartTime,EndTime
go-tcp-dockerfinish-clientB-1,09:31:15.623559776,09:31:15.625446016
go-tcp-dockerfinish-clientA-1,09:31:13.56655865,09:31:15.625225783
go-tcp-dockerfinish-clientA-1,09:33:24.188294695,09:33:25.325430557
go-tcp-dockerfinish-clientB-1,09:33:25.324243562,09:33:25.326088226
go-tcp-dockerfinish-clientA-1,09:35:37.264935415,09:35:39.711568695
go-tcp-dockerfinish-clientB-1,09:35:39.70919819,09:35:39.711542799
go-tcp-dockerfinish-clientA-1,09:37:48.297216119,09:37:50.327091315
go-tcp-dockerfinish-clientB-1,09:37:50.312482626,09:37:50.327110749
go-tcp-dockerfinish-clientA-1,09:40:00.346382483,09:40:02.845965863
go-tcp-dockerfinish-clientB-1,09:40:02.844250624,09:40:02.845980741
go-tcp-dockerfinish-clientB-1,09:42:14.032232546,09:42:14.034820199
go-tcp-dockerfinish-clientA-1,09:42:12.046836287,09:42:14.034799339
go-tcp-dockerfinish-clientA-1,09:44:24.018087405,09:44:25.954050987
go-tcp-dockerfinish-clientB-1,09:44:25.952805687,09:44:25.954345126
go-tcp-dockerfinish-clientB-1,09:46:37.203679036,09:46:37.204760859
go-tcp-dockerfinish-clientA-1,09:46:35.422793781,09:46:37.204667245
go-tcp-dockerfinish-clientA-1,09:48:49.696710056,09:48:51.629017304
go-tcp-dockerfinish-clientB-1,09:48:51.627331616,09:48:51.62909027
go-tcp-dockerfinish-clientB-1,09:51:01.690175004,09:51:01.691403514
go-tcp-dockerfinish-clientB-1,09:51:01.690175004,09:51:01.691418843
go-tcp-dockerfinish-clientB-1,09:53:13.08790578,09:53:13.09043613
go-tcp-dockerfinish-clientA-1,09:53:11.237416328,09:53:13.090242722
go-tcp-dockerfinish-clientA-1,09:55:22.428932136,09:55:24.314962634
go-tcp-dockerfinish-clientB-1,09:55:24.308813622,09:55:24.314920996
go-tcp-dockerfinish-clientB-1,09:57:36.343795449,09:57:36.345287604
go-tcp-dockerfinish-clientA-1,09:57:34.614771872,09:57:36.345399753
go-tcp-dockerfinish-clientB-1,09:59:49.252090924,09:59:49.25288767
go-tcp-dockerfinish-clientA-1,09:59:46.281695649,09:59:49.252900306
go-tcp-dockerfinish-clientA-1,10:01:59.095643205,10:02:00.962358465
go-tcp-dockerfinish-clientB-1,10:02:00.958470762,10:02:00.962683581
go-tcp-dockerfinish-clientA-1,10:04:10.762289382,10:04:12.56202043
go-tcp-dockerfinish-clientB-1,10:04:12.560361915,10:04:12.561927052
go-tcp-dockerfinish-clientA-1,10:06:23.179446642,10:06:24.82357705
go-tcp-dockerfinish-clientB-1,10:06:24.82208639,10:06:24.823927588
go-tcp-dockerfinish-clientB-1,10:08:36.700130441,10:08:36.703113558
go-tcp-dockerfinish-clientA-1,10:08:34.817051683,10:08:36.702948405
go-tcp-dockerfinish-clientB-1,10:10:53.387157011,10:10:53.387994813
go-tcp-dockerfinish-clientA-1,10:10:48.303317977,10:10:53.388004877
go-tcp-dockerfinish-clientA-1,10:13:00.978063794,10:13:02.643825454
