Container,StartTime,EndTime
go-tcp-dockerfinish-clientA-1,01:32:07.728800887,01:32:09.747130992
go-tcp-dockerfinish-clientB-1,01:32:09.705518182,01:32:09.747034851
go-tcp-dockerfinish-clientB-1,01:34:21.437207585,01:34:21.438323117
go-tcp-dockerfinish-clientA-1,01:34:19.525493654,01:34:21.438393457
go-tcp-dockerfinish-clientA-1,01:36:31.861162793,01:36:33.82502823
go-tcp-dockerfinish-clientB-1,01:36:33.823779451,01:36:33.825018726
go-tcp-dockerfinish-clientB-1,01:38:45.24485496,01:38:45.246776395
go-tcp-dockerfinish-clientA-1,01:38:43.296719263,01:38:45.246324895
go-tcp-dockerfinish-clientB-1,01:40:57.351407133,01:40:57.352544023
go-tcp-dockerfinish-clientA-1,01:40:55.349228585,01:40:57.352559274
go-tcp-dockerfinish-clientB-1,01:43:09.483237122,01:43:09.48420192
go-tcp-dockerfinish-clientA-1,01:43:07.656679183,01:43:09.487238133
go-tcp-dockerfinish-clientA-1,01:45:19.340264932,01:45:21.226824863
go-tcp-dockerfinish-clientB-1,01:45:21.22548897,01:45:21.226944113
go-tcp-dockerfinish-clientA-1,01:47:31.522493609,01:47:33.445387682
go-tcp-dockerfinish-clientB-1,01:47:33.439805848,01:47:33.445292814
go-tcp-dockerfinish-clientA-1,01:49:43.947999457,01:49:45.989846533
go-tcp-dockerfinish-clientB-1,01:49:45.98900713,01:49:45.989862744
go-tcp-dockerfinish-clientB-1,01:51:56.299254018,01:51:56.300695861
go-tcp-dockerfinish-clientA-1,01:51:54.776541024,01:51:56.300701248
go-tcp-dockerfinish-clientB-1,01:54:08.30672701,01:54:08.308092667
go-tcp-dockerfinish-clientA-1,01:54:06.578552412,01:54:08.308507948
go-tcp-dockerfinish-clientA-1,01:56:18.118466783,01:56:20.057936979
go-tcp-dockerfinish-clientB-1,01:56:20.054396587,01:56:20.058301724
go-tcp-dockerfinish-clientB-1,01:58:32.720134049,01:58:32.800564634
go-tcp-dockerfinish-clientA-1,01:58:29.945886009,01:58:32.793657713
go-tcp-dockerfinish-clientB-1,02:00:43.598709074,02:00:43.599621246
go-tcp-dockerfinish-clientA-1,02:00:41.743024707,02:00:43.599650659
go-tcp-dockerfinish-clientA-1,02:02:53.4611266,02:02:55.424721637
go-tcp-dockerfinish-clientB-1,02:02:55.418547586,02:02:55.425491097
go-tcp-dockerfinish-clientB-1,02:05:06.332478924,02:05:06.334047678
go-tcp-dockerfinish-clientA-1,02:05:04.648675528,02:05:06.333971274
go-tcp-dockerfinish-clientB-1,02:07:18.751743512,02:07:18.754035577
go-tcp-dockerfinish-clientA-1,02:07:16.969679058,02:07:18.754105446
go-tcp-dockerfinish-clientB-1,02:09:30.749351281,02:09:30.750847151
go-tcp-dockerfinish-clientA-1,02:09:28.938840005,02:09:30.750805386
go-tcp-dockerfinish-clientA-1,02:11:40.406742447,02:11:41.940504179
go-tcp-dockerfinish-clientB-1,02:11:41.938642331,02:11:41.94064863
go-tcp-dockerfinish-clientA-1,02:13:52.301897527,02:13:54.215472924
go-tcp-dockerfinish-clientB-1,02:13:54.213764543,02:13:54.215566639
go-tcp-dockerfinish-clientA-1,02:16:04.320541978,02:16:05.799273939
go-tcp-dockerfinish-clientB-1,02:16:05.797406388,02:16:05.799538528
go-tcp-dockerfinish-clientA-1,02:18:15.686571091,02:18:17.537839232
go-tcp-dockerfinish-clientB-1,02:18:17.534474947,02:18:17.537747553
go-tcp-dockerfinish-clientA-1,02:20:27.218742464,02:20:28.960066577
go-tcp-dockerfinish-clientB-1,02:20:28.958839878,02:20:28.959834759
go-tcp-dockerfinish-clientB-1,02:22:40.327692288,02:22:40.329125277
go-tcp-dockerfinish-clientA-1,02:22:38.951100656,02:22:40.329019785
go-tcp-dockerfinish-clientB-1,02:24:51.925255006,02:24:51.927111637
go-tcp-dockerfinish-clientA-1,02:24:50.432974009,02:24:51.926681028
go-tcp-dockerfinish-clientB-1,02:27:04.139950036,02:27:04.140900717
go-tcp-dockerfinish-clientA-1,02:27:02.295824425,02:27:04.141046973
go-tcp-dockerfinish-clientB-1,02:29:15.48158124,02:29:15.483000984
go-tcp-dockerfinish-clientA-1,02:29:13.593096643,02:29:15.483131212
go-tcp-dockerfinish-clientB-1,02:31:28.158238173,02:31:28.159501589
go-tcp-dockerfinish-clientA-1,02:31:26.711490591,02:31:28.159334366
go-tcp-dockerfinish-clientA-1,02:33:37.566705836,02:33:39.502669761
go-tcp-dockerfinish-clientB-1,02:33:39.501150744,02:33:39.502830076
go-tcp-dockerfinish-clientA-1,02:35:52.936986316,02:35:54.669127443
go-tcp-dockerfinish-clientB-1,02:35:54.668115157,02:35:54.669225914
go-tcp-dockerfinish-clientA-1,02:38:02.139891642,02:38:03.96427665
go-tcp-dockerfinish-clientB-1,02:38:03.963180824,02:38:03.964311303
go-tcp-dockerfinish-clientB-1,02:40:15.472465775,02:40:15.475399943
go-tcp-dockerfinish-clientA-1,02:40:13.476587302,02:40:15.474879435
go-tcp-dockerfinish-clientA-1,02:42:25.505609481,02:42:27.219750052
go-tcp-dockerfinish-clientB-1,02:42:27.217778296,02:42:27.219727619
go-tcp-dockerfinish-clientA-1,02:44:36.824721295,02:44:38.591462868
go-tcp-dockerfinish-clientB-1,02:44:38.589365774,02:44:38.59124558
go-tcp-dockerfinish-clientB-1,02:46:50.728698427,02:46:50.732047868
go-tcp-dockerfinish-clientA-1,02:46:48.950988296,02:46:50.731864329
go-tcp-dockerfinish-clientB-1,02:49:02.151740329,02:49:02.155550981
go-tcp-dockerfinish-clientA-1,02:49:00.438209755,02:49:02.155031598
go-tcp-dockerfinish-clientB-1,02:51:13.690387321,02:51:13.693346955
go-tcp-dockerfinish-clientA-1,02:51:11.548283257,02:51:13.692931692
go-tcp-dockerfinish-clientA-1,02:53:23.245522382,02:53:25.096616971
go-tcp-dockerfinish-clientB-1,02:53:25.095477341,02:53:25.096643749
go-tcp-dockerfinish-clientB-1,02:55:37.225772991,02:55:37.229244013
go-tcp-dockerfinish-clientA-1,02:55:35.46698746,02:55:37.229193193
