Container,StartTime,EndTime
go-tcp-dockerfinish-clientB-1,05:27:43.219935323,05:27:43.622725307
go-tcp-dockerfinish-clientA-1,05:27:41.329712905,05:27:43.723219806
go-tcp-dockerfinish-clientB-1,05:29:54.221237488,05:29:54.725135359
go-tcp-dockerfinish-clientA-1,05:29:52.380164497,05:29:54.725149154
go-tcp-dockerfinish-clientB-1,05:32:06.005913305,05:32:06.412654631
go-tcp-dockerfinish-clientA-1,05:32:04.007660062,05:32:06.513707747
go-tcp-dockerfinish-clientA-1,05:34:15.492868888,05:34:17.687116854
go-tcp-dockerfinish-clientB-1,05:34:17.18458033,05:34:17.686340078
go-tcp-dockerfinish-clientB-1,05:36:29.073131471,05:36:29.579891233
go-tcp-dockerfinish-clientA-1,05:36:27.359154942,05:36:29.57849218
go-tcp-dockerfinish-clientB-1,05:38:40.953316195,05:38:41.457621041
go-tcp-dockerfinish-clientA-1,05:38:39.293534064,05:38:41.457565246
go-tcp-dockerfinish-clientA-1,05:40:51.367524934,05:40:53.624283549
go-tcp-dockerfinish-clientB-1,05:40:53.121995928,05:40:53.624278613
go-tcp-dockerfinish-clientA-1,05:43:03.272772687,05:43:05.641587573
go-tcp-dockerfinish-clientB-1,05:43:05.137027342,05:43:05.641587595
go-tcp-dockerfinish-clientA-1,05:45:16.887624673,05:45:19.742065983
go-tcp-dockerfinish-clientB-1,05:45:19.23203311,05:45:19.641466551
go-tcp-dockerfinish-clientB-1,05:47:28.389815401,05:47:28.79207549
go-tcp-dockerfinish-clientA-1,05:47:26.886740981,05:47:28.892400267
go-tcp-dockerfinish-clientB-1,05:49:40.590752638,05:49:41.094301026
go-tcp-dockerfinish-clientA-1,05:49:38.771298191,05:49:40.994239165
go-tcp-dockerfinish-clientB-1,05:51:52.341802626,05:51:52.8443774
go-tcp-dockerfinish-clientA-1,05:51:50.61144419,05:51:52.844337837
go-tcp-dockerfinish-clientA-1,05:54:02.611582027,05:54:05.115925274
go-tcp-dockerfinish-clientB-1,05:54:04.612661437,05:54:05.015453987
go-tcp-dockerfinish-clientA-1,05:56:13.812652571,05:56:15.694972219
go-tcp-dockerfinish-clientB-1,05:56:15.191711557,05:56:15.69494127
go-tcp-dockerfinish-clientB-1,05:58:26.717533838,05:58:27.123172825
go-tcp-dockerfinish-clientA-1,05:58:25.260215684,05:58:27.223920037
go-tcp-dockerfinish-clientA-1,06:00:37.332532806,06:00:39.598320058
go-tcp-dockerfinish-clientB-1,06:00:39.09452945,06:00:39.498612753
go-tcp-dockerfinish-clientA-1,06:02:49.7328956,06:02:50.966193667
go-tcp-dockerfinish-clientB-1,06:02:50.464247271,06:02:50.966232886
go-tcp-dockerfinish-clientA-1,06:05:00.732575142,06:05:03.074473628
go-tcp-dockerfinish-clientB-1,06:05:02.570542024,06:05:03.074367805
go-tcp-dockerfinish-clientB-1,06:07:13.116941961,06:07:13.621471428
go-tcp-dockerfinish-clientA-1,06:07:11.662600977,06:07:13.520773561
go-tcp-dockerfinish-clientA-1,06:09:23.853059944,06:09:26.574941497
go-tcp-dockerfinish-clientB-1,06:09:26.062765888,06:09:26.474354852
go-tcp-dockerfinish-clientB-1,06:11:37.924479436,06:11:38.428732269
go-tcp-dockerfinish-clientA-1,06:11:36.257000799,06:11:38.42841926
go-tcp-dockerfinish-clientB-1,06:13:49.305860273,06:13:49.809060922
go-tcp-dockerfinish-clientA-1,06:13:47.657228861,06:13:49.80903739
go-tcp-dockerfinish-clientA-1,06:15:58.664496084,06:16:00.717923889
go-tcp-dockerfinish-clientB-1,06:16:00.214754329,06:16:00.717924037
go-tcp-dockerfinish-clientA-1,06:18:11.115879761,06:18:13.494548167
go-tcp-dockerfinish-clientB-1,06:18:12.990556616,06:18:13.494511999
go-tcp-dockerfinish-clientB-1,06:20:24.622987777,06:20:25.126830141
go-tcp-dockerfinish-clientA-1,06:20:22.638793106,06:20:25.026713926
go-tcp-dockerfinish-clientB-1,06:22:35.401830963,06:22:35.805236013
go-tcp-dockerfinish-clientA-1,06:22:33.620070704,06:22:35.906400662
go-tcp-dockerfinish-clientB-1,06:24:47.736608685,06:24:48.240434655
go-tcp-dockerfinish-clientA-1,06:24:45.856379815,06:24:48.240434608
go-tcp-dockerfinish-clientA-1,06:26:57.674058507,06:26:59.701806212
go-tcp-dockerfinish-clientB-1,06:26:59.199455905,06:26:59.701806185
go-tcp-dockerfinish-clientA-1,06:29:09.28771517,06:29:11.570644554
go-tcp-dockerfinish-clientB-1,06:29:11.066003777,06:29:11.470456789
go-tcp-dockerfinish-clientB-1,06:31:23.779018399,06:31:24.282530073
go-tcp-dockerfinish-clientA-1,06:31:21.779045473,06:31:24.182239926
go-tcp-dockerfinish-clientB-1,06:33:35.283089526,06:33:35.788792115
go-tcp-dockerfinish-clientA-1,06:33:33.548831947,06:33:35.687917658
go-tcp-dockerfinish-clientB-1,06:35:47.383604646,06:35:47.786794546
go-tcp-dockerfinish-clientA-1,06:35:44.940229929,06:35:47.887145617
go-tcp-dockerfinish-clientB-1,06:37:58.174735475,06:37:59.707485132
go-tcp-dockerfinish-clientA-1,06:37:56.335172001,06:37:59.70758835
go-tcp-dockerfinish-clientA-1,06:40:07.81111027,06:40:10.229253062
go-tcp-dockerfinish-clientB-1,06:40:09.725297778,06:40:10.128888964
go-tcp-dockerfinish-clientA-1,06:42:19.964444185,06:42:22.213929221
go-tcp-dockerfinish-clientB-1,06:42:21.711018311,06:42:22.213968764
go-tcp-dockerfinish-clientA-1,06:44:31.847653238,06:44:34.017985304
go-tcp-dockerfinish-clientB-1,06:44:33.514653288,06:44:33.917959012
go-tcp-dockerfinish-clientB-1,06:46:45.077518661,06:46:45.582764259
go-tcp-dockerfinish-clientA-1,06:46:43.239824239,06:46:45.481599914
go-tcp-dockerfinish-clientA-1,06:48:54.960921273,06:48:56.865112161
go-tcp-dockerfinish-clientB-1,06:48:56.361059539,06:48:56.865107769
go-tcp-dockerfinish-clientB-1,06:51:08.592239164,06:51:09.095563379
go-tcp-dockerfinish-clientB-1,06:51:08.592239164,06:51:09.095622338
go-tcp-dockerfinish-clientB-1,06:53:19.873381003,06:53:20.376450058
go-tcp-dockerfinish-clientA-1,06:53:18.134145093,06:53:20.376454704
go-tcp-dockerfinish-clientA-1,06:55:29.644570992,06:55:31.954911926
go-tcp-dockerfinish-clientB-1,06:55:31.451366163,06:55:31.854482903
go-tcp-dockerfinish-clientB-1,06:57:43.043323971,06:57:43.546305028
go-tcp-dockerfinish-clientA-1,06:57:41.331052415,06:57:43.546305052
go-tcp-dockerfinish-clientA-1,06:59:53.088015484,06:59:55.282337809
go-tcp-dockerfinish-clientB-1,06:59:54.777127277,06:59:55.299154442
go-tcp-dockerfinish-clientB-1,07:02:06.681414754,07:02:08.188457867
go-tcp-dockerfinish-clientA-1,07:02:05.189257202,07:02:08.188375814
go-tcp-dockerfinish-clientB-1,07:04:20.864798557,07:04:21.367219337
go-tcp-dockerfinish-clientA-1,07:04:18.073247952,07:04:21.266981006
go-tcp-dockerfinish-clientB-1,07:06:31.682554292,07:06:32.184801962
go-tcp-dockerfinish-clientA-1,07:06:29.606847523,07:06:32.184794382
go-tcp-dockerfinish-clientB-1,07:08:42.907145918,07:08:43.41063674
go-tcp-dockerfinish-clientA-1,07:08:41.083842225,07:08:43.410596507
go-tcp-dockerfinish-clientB-1,07:10:55.354224384,07:10:55.85774632
go-tcp-dockerfinish-clientA-1,07:10:53.489471613,07:10:55.757349184
go-tcp-dockerfinish-clientB-1,07:13:08.076326064,07:13:08.482826873
go-tcp-dockerfinish-clientA-1,07:13:04.970516567,07:13:08.583403425
go-tcp-dockerfinish-clientB-1,07:15:18.533514945,07:15:18.936774284
go-tcp-dockerfinish-clientA-1,07:15:16.803871177,07:15:19.03744494
go-tcp-dockerfinish-clientA-1,07:17:28.880778927,07:17:31.21004478
go-tcp-dockerfinish-clientB-1,07:17:30.658300096,07:17:31.109366057
go-tcp-dockerfinish-clientA-1,07:19:40.673270931,07:19:42.718340967
go-tcp-dockerfinish-clientB-1,07:19:42.31351811,07:19:42.818672184
go-tcp-dockerfinish-clientA-1,07:21:52.152898983,07:21:54.098608039
go-tcp-dockerfinish-clientB-1,07:21:53.595645509,07:21:53.99782741
go-tcp-dockerfinish-clientA-1,07:24:04.027050785,07:24:06.033505933
go-tcp-dockerfinish-clientB-1,07:24:05.530703634,07:24:06.033550107
go-tcp-dockerfinish-clientA-1,07:26:16.414932441,07:26:17.681241513
go-tcp-dockerfinish-clientB-1,07:26:17.178605015,07:26:17.681355497
go-tcp-dockerfinish-clientB-1,07:28:28.793274374,07:28:29.197429033
go-tcp-dockerfinish-clientA-1,07:28:27.309400764,07:28:29.297801538
go-tcp-dockerfinish-clientA-1,07:30:38.386427436,07:30:40.662028659
go-tcp-dockerfinish-clientB-1,07:30:40.159481156,07:30:40.561687971
go-tcp-dockerfinish-clientA-1,07:32:50.214749218,07:32:52.413166711
go-tcp-dockerfinish-clientB-1,07:32:51.910433337,07:32:52.413167368
go-tcp-dockerfinish-clientB-1,07:35:04.070498444,07:35:04.575529975
go-tcp-dockerfinish-clientA-1,07:35:02.20477806,07:35:04.474951146
go-tcp-dockerfinish-clientB-1,07:37:15.211885806,07:37:15.714680214
go-tcp-dockerfinish-clientA-1,07:37:13.680480437,07:37:15.714612605
go-tcp-dockerfinish-clientA-1,07:39:25.390261864,07:39:27.223462317
go-tcp-dockerfinish-clientB-1,07:39:26.718948688,07:39:27.223462537
go-tcp-dockerfinish-clientB-1,07:41:39.758559938,07:41:40.262426106
go-tcp-dockerfinish-clientA-1,07:41:37.977275893,07:41:40.262431489
go-tcp-dockerfinish-clientA-1,07:43:49.596569637,07:43:51.752955519
go-tcp-dockerfinish-clientB-1,07:43:51.249281433,07:43:51.652813661
go-tcp-dockerfinish-clientA-1,07:46:01.089785557,07:46:03.194813529
go-tcp-dockerfinish-clientB-1,07:46:02.690738232,07:46:03.094542949
go-tcp-dockerfinish-clientB-1,07:48:15.958998624,07:48:16.461698557
go-tcp-dockerfinish-clientA-1,07:48:12.911548869,07:48:16.461729512
go-tcp-dockerfinish-clientB-1,07:50:26.947144706,07:50:27.44952833
go-tcp-dockerfinish-clientA-1,07:50:25.097633091,07:50:27.550185134
go-tcp-dockerfinish-clientB-1,07:52:38.52850947,07:52:39.131547162
go-tcp-dockerfinish-clientA-1,07:52:36.425029685,07:52:39.030913734
go-tcp-dockerfinish-clientB-1,07:54:49.696741836,07:54:50.198842639
go-tcp-dockerfinish-clientA-1,07:54:47.968389607,07:54:50.098517249
go-tcp-dockerfinish-clientB-1,07:57:03.813923872,07:57:04.316844424
go-tcp-dockerfinish-clientA-1,07:57:02.016063798,07:57:04.316810758
go-tcp-dockerfinish-clientA-1,07:59:14.443639894,07:59:16.738932184
go-tcp-dockerfinish-clientB-1,07:59:16.221932441,07:59:16.738894281
go-tcp-dockerfinish-clientB-1,08:01:27.552077245,08:01:28.055334476
go-tcp-dockerfinish-clientA-1,08:01:25.704759241,08:01:28.055330622
go-tcp-dockerfinish-clientA-1,08:03:37.475222087,08:03:39.854761525
go-tcp-dockerfinish-clientB-1,08:03:39.351297162,08:03:39.754205234
go-tcp-dockerfinish-clientB-1,08:05:51.663115035,08:05:52.066215302
go-tcp-dockerfinish-clientA-1,08:05:49.710402768,08:05:52.16667776
go-tcp-dockerfinish-clientA-1,08:08:01.657071102,08:08:03.965826448
go-tcp-dockerfinish-clientB-1,08:08:03.45749708,08:08:03.865069842
go-tcp-dockerfinish-clientB-1,08:10:14.459999198,08:10:14.965020982
go-tcp-dockerfinish-clientA-1,08:10:13.158704982,08:10:14.864680467
go-tcp-dockerfinish-clientA-1,08:12:24.970524855,08:12:28.310975852
go-tcp-dockerfinish-clientB-1,08:12:26.891723309,08:12:28.411453383
go-tcp-dockerfinish-clientA-1,08:14:36.363868577,08:14:38.253013854
go-tcp-dockerfinish-clientB-1,08:14:37.748644615,08:14:38.152543242
go-tcp-dockerfinish-clientA-1,08:16:48.881270716,08:16:51.149276497
go-tcp-dockerfinish-clientB-1,08:16:50.64720876,08:16:51.149254662
go-tcp-dockerfinish-clientB-1,08:19:02.259790627,08:19:02.66215435
go-tcp-dockerfinish-clientA-1,08:19:00.48928995,08:19:02.762563193
go-tcp-dockerfinish-clientA-1,08:21:13.095592801,08:21:14.964144881
go-tcp-dockerfinish-clientB-1,08:21:14.460764775,08:21:14.964180962
go-tcp-dockerfinish-clientB-1,08:23:27.308634014,08:23:27.711616406
go-tcp-dockerfinish-clientA-1,08:23:25.314009115,08:23:27.811980343
go-tcp-dockerfinish-clientA-1,08:25:36.986554647,08:25:39.512004452
go-tcp-dockerfinish-clientB-1,08:25:39.086554647,08:25:39.612603369
go-tcp-dockerfinish-clientB-1,08:27:51.072530512,08:27:51.476397759
go-tcp-dockerfinish-clientA-1,08:27:49.387644188,08:27:51.576818737
go-tcp-dockerfinish-clientA-1,08:30:01.563733778,08:30:03.765684034
go-tcp-dockerfinish-clientB-1,08:30:03.26137064,08:30:03.665523675
go-tcp-dockerfinish-clientA-1,08:32:12.776660327,08:32:15.210073586
go-tcp-dockerfinish-clientB-1,08:32:14.705662343,08:32:15.209971321
go-tcp-dockerfinish-clientA-1,08:34:25.538631576,08:34:27.39713832
go-tcp-dockerfinish-clientB-1,08:34:26.89261412,08:34:27.296919714
go-tcp-dockerfinish-clientB-1,08:36:38.502413483,08:36:38.911704296
go-tcp-dockerfinish-clientA-1,08:36:36.671707562,08:36:39.011886646
go-tcp-dockerfinish-clientA-1,08:38:48.17701321,08:38:50.4639168
go-tcp-dockerfinish-clientB-1,08:38:50.061246707,08:38:50.564128423
go-tcp-dockerfinish-clientA-1,08:41:00.259950905,08:41:02.327865645
go-tcp-dockerfinish-clientB-1,08:41:01.920623877,08:41:02.42824058
go-tcp-dockerfinish-clientA-1,08:43:12.571402853,08:43:13.834966705
go-tcp-dockerfinish-clientB-1,08:43:13.330945494,08:43:13.834209693
go-tcp-dockerfinish-clientB-1,08:45:24.662911159,08:45:25.065322548
go-tcp-dockerfinish-clientA-1,08:45:23.193472027,08:45:25.166050701
go-tcp-dockerfinish-clientA-1,08:47:35.193813505,08:47:37.567884257
