Container,StartTime,EndTime
go-tcp-dockerfinish-clientB-1,06:09:59.0466536,06:09:59.091166754
go-tcp-dockerfinish-clientA-1,06:09:57.209420356,06:09:59.101922783
go-tcp-dockerfinish-clientA-1,06:12:07.232376942,06:12:09.041727508
go-tcp-dockerfinish-clientB-1,06:12:08.998453512,06:12:09.052326581
go-tcp-dockerfinish-clientA-1,06:14:20.890834614,06:14:22.853689975
go-tcp-dockerfinish-clientB-1,06:14:22.801690823,06:14:22.853742776
go-tcp-dockerfinish-clientB-1,06:16:33.296946195,06:16:33.340377644
go-tcp-dockerfinish-clientA-1,06:16:31.409533892,06:16:33.350758713
go-tcp-dockerfinish-clientA-1,06:18:43.178254558,06:18:45.025732207
go-tcp-dockerfinish-clientB-1,06:18:44.973364337,06:18:45.015354968
go-tcp-dockerfinish-clientB-1,06:20:56.485397892,06:20:56.53113767
go-tcp-dockerfinish-clientA-1,06:20:54.498269268,06:20:56.541921564
go-tcp-dockerfinish-clientB-1,06:23:09.58098826,06:23:09.623440264
go-tcp-dockerfinish-clientA-1,06:23:07.429270925,06:23:09.633650108
go-tcp-dockerfinish-clientB-1,06:25:20.508885845,06:25:20.56255667
go-tcp-dockerfinish-clientA-1,06:25:19.01144142,06:25:20.562681094
go-tcp-dockerfinish-clientB-1,06:27:33.656224133,06:27:34.723227769
go-tcp-dockerfinish-clientA-1,06:27:31.507091255,06:27:34.733670013
go-tcp-dockerfinish-clientA-1,06:29:43.503235061,06:29:45.181685931
go-tcp-dockerfinish-clientB-1,06:29:45.129770707,06:29:45.181689565
go-tcp-dockerfinish-clientB-1,06:31:56.869751426,06:31:56.921747587
go-tcp-dockerfinish-clientA-1,06:31:54.972086141,06:31:56.921790018
go-tcp-dockerfinish-clientB-1,06:34:08.63013571,06:34:08.682171166
go-tcp-dockerfinish-clientA-1,06:34:06.596375908,06:34:08.682156186
go-tcp-dockerfinish-clientB-1,06:36:19.835346815,06:36:19.877353237
go-tcp-dockerfinish-clientA-1,06:36:18.323068473,06:36:19.887847957
go-tcp-dockerfinish-clientB-1,06:38:31.300691279,06:38:31.354665014
go-tcp-dockerfinish-clientA-1,06:38:29.764230432,06:38:31.344316063
go-tcp-dockerfinish-clientA-1,06:40:41.567309927,06:40:43.352122086
go-tcp-dockerfinish-clientB-1,06:40:43.297563363,06:40:43.352404399
go-tcp-dockerfinish-clientB-1,06:42:54.581027451,06:42:54.624437547
go-tcp-dockerfinish-clientA-1,06:42:52.841318896,06:42:54.634916625
go-tcp-dockerfinish-clientB-1,06:45:07.01294622,06:45:07.055544785
go-tcp-dockerfinish-clientA-1,06:45:05.072017619,06:45:07.065994693
go-tcp-dockerfinish-clientB-1,06:47:18.171231145,06:47:18.223803259
go-tcp-dockerfinish-clientA-1,06:47:16.49539788,06:47:18.223777614
go-tcp-dockerfinish-clientB-1,06:49:30.286822031,06:49:30.341090993
go-tcp-dockerfinish-clientA-1,06:49:28.395208273,06:49:30.341160203
go-tcp-dockerfinish-clientA-1,06:51:40.344735055,06:51:41.990911949
go-tcp-dockerfinish-clientB-1,06:51:41.9354445,06:51:41.980628074
go-tcp-dockerfinish-clientB-1,06:53:54.262470099,06:53:54.315115197
go-tcp-dockerfinish-clientA-1,06:53:52.542236323,06:53:54.315097008
go-tcp-dockerfinish-clientB-1,06:56:05.399573582,06:56:05.444609435
go-tcp-dockerfinish-clientA-1,06:56:03.724808254,06:56:05.454278111
go-tcp-dockerfinish-clientA-1,06:58:15.780102225,06:58:17.547095905
go-tcp-dockerfinish-clientB-1,06:58:17.50260701,06:58:17.557721482
go-tcp-dockerfinish-clientB-1,07:00:28.665301551,07:00:28.710010757
go-tcp-dockerfinish-clientA-1,07:00:27.222942644,07:00:28.720749438
go-tcp-dockerfinish-clientA-1,07:02:38.976713183,07:02:40.833887715
go-tcp-dockerfinish-clientB-1,07:02:40.778628868,07:02:40.823401499
go-tcp-dockerfinish-clientA-1,07:04:51.074184442,07:04:52.813311124
go-tcp-dockerfinish-clientB-1,07:04:52.756502436,07:04:52.80251533
go-tcp-dockerfinish-clientB-1,07:07:04.524659799,07:07:04.566252272
go-tcp-dockerfinish-clientA-1,07:07:02.744199855,07:07:04.576743339
go-tcp-dockerfinish-clientB-1,07:09:17.084794633,07:09:17.131305219
go-tcp-dockerfinish-clientA-1,07:09:15.378075516,07:09:17.141915041
go-tcp-dockerfinish-clientB-1,07:11:29.354803168,07:11:29.411788708
go-tcp-dockerfinish-clientA-1,07:11:26.631319653,07:11:29.401091996
go-tcp-dockerfinish-clientB-1,07:13:40.43378593,07:13:40.490452683
go-tcp-dockerfinish-clientA-1,07:13:38.763085816,07:13:40.489159474
go-tcp-dockerfinish-clientA-1,07:15:49.882402108,07:15:51.791491296
go-tcp-dockerfinish-clientB-1,07:15:51.735807446,07:15:51.781033911
go-tcp-dockerfinish-clientB-1,07:18:03.599790339,07:18:03.644855928
go-tcp-dockerfinish-clientA-1,07:18:02.067358422,07:18:03.655433361
go-tcp-dockerfinish-clientB-1,07:20:14.726812349,07:20:14.781517769
go-tcp-dockerfinish-clientA-1,07:20:13.34571405,07:20:14.770413995
go-tcp-dockerfinish-clientB-1,07:22:27.303603045,07:22:27.356208782
go-tcp-dockerfinish-clientA-1,07:22:25.393583869,07:22:27.356196616
go-tcp-dockerfinish-clientB-1,07:24:38.345297188,07:24:38.399527207
go-tcp-dockerfinish-clientA-1,07:24:36.692724339,07:24:38.399565177
go-tcp-dockerfinish-clientA-1,07:26:48.354128822,07:26:50.256751373
go-tcp-dockerfinish-clientB-1,07:26:50.200640553,07:26:50.246342185
go-tcp-dockerfinish-clientA-1,07:29:00.17822189,07:29:02.048623637
go-tcp-dockerfinish-clientB-1,07:29:01.995139398,07:29:02.037818544
go-tcp-dockerfinish-clientB-1,07:31:13.687627388,07:31:13.734465496
go-tcp-dockerfinish-clientA-1,07:31:11.920863509,07:31:13.744908638
go-tcp-dockerfinish-clientA-1,07:33:26.012256054,07:33:27.679473889
go-tcp-dockerfinish-clientB-1,07:33:27.626002526,07:33:27.669006726
go-tcp-dockerfinish-clientB-1,07:35:37.527988054,07:35:37.57239327
go-tcp-dockerfinish-clientA-1,07:35:35.701632987,07:35:37.582555071
go-tcp-dockerfinish-clientB-1,07:37:48.593428225,07:37:48.63911422
go-tcp-dockerfinish-clientA-1,07:37:47.208911476,07:37:48.649718736
go-tcp-dockerfinish-clientB-1,07:40:00.689840893,07:40:00.744211556
