Container,StartTime,EndTime
go-tcp-dockerfinish-clientA-1,14:41:02.838270118,14:41:04.862882017
go-tcp-dockerfinish-clientB-1,14:41:04.859850897,14:41:04.863344534
go-tcp-dockerfinish-clientA-1,14:43:12.893393762,14:43:14.669353038
go-tcp-dockerfinish-clientB-1,14:43:14.66822448,14:43:14.6693098
go-tcp-dockerfinish-clientB-1,14:45:27.312357016,14:45:27.314696797
go-tcp-dockerfinish-clientA-1,14:45:25.518616633,14:45:27.314813478
go-tcp-dockerfinish-clientB-1,14:47:38.443510388,14:47:38.446512822
go-tcp-dockerfinish-clientA-1,14:47:36.887472637,14:47:38.446626772
go-tcp-dockerfinish-clientB-1,14:49:49.84111694,14:49:49.84243611
go-tcp-dockerfinish-clientA-1,14:49:48.190789053,14:49:49.842438821
go-tcp-dockerfinish-clientA-1,14:51:59.987908872,14:52:01.349746768
go-tcp-dockerfinish-clientB-1,14:52:01.348319095,14:52:01.3508891
go-tcp-dockerfinish-clientB-1,14:54:13.653557543,14:54:13.656729507
go-tcp-dockerfinish-clientA-1,14:54:11.820869439,14:54:13.65614819
go-tcp-dockerfinish-clientA-1,14:56:23.51942715,14:56:25.3270198
go-tcp-dockerfinish-clientB-1,14:56:25.32511315,14:56:25.3269203
go-tcp-dockerfinish-clientB-1,14:58:37.241618895,14:58:37.24391482
go-tcp-dockerfinish-clientA-1,14:58:35.413409222,14:58:37.243716893
go-tcp-dockerfinish-clientB-1,15:00:49.030595879,15:00:49.032552018
go-tcp-dockerfinish-clientA-1,15:00:47.286299592,15:00:49.032662494
go-tcp-dockerfinish-clientA-1,15:02:59.137355804,15:03:01.137219881
go-tcp-dockerfinish-clientB-1,15:03:01.135829023,15:03:01.137520304
go-tcp-dockerfinish-clientB-1,15:05:12.54507115,15:05:12.549351338
go-tcp-dockerfinish-clientA-1,15:05:10.655279637,15:05:12.549363465
go-tcp-dockerfinish-clientB-1,15:07:24.799961706,15:07:24.800835404
go-tcp-dockerfinish-clientA-1,15:07:22.851823253,15:07:24.800814091
go-tcp-dockerfinish-clientA-1,15:09:34.282275319,15:09:35.734600035
go-tcp-dockerfinish-clientB-1,15:09:35.733374704,15:09:35.735253003
go-tcp-dockerfinish-clientA-1,15:11:46.240326205,15:11:48.138267763
go-tcp-dockerfinish-clientB-1,15:11:48.136586259,15:11:48.137788712
go-tcp-dockerfinish-clientA-1,15:13:58.340580849,15:14:00.230434283
go-tcp-dockerfinish-clientB-1,15:14:00.229110458,15:14:00.232280921
go-tcp-dockerfinish-clientA-1,15:16:09.755937735,15:16:11.561433602
go-tcp-dockerfinish-clientB-1,15:16:11.559133009,15:16:11.561894848
go-tcp-dockerfinish-clientA-1,15:18:21.401046558,15:18:22.776569981
go-tcp-dockerfinish-clientB-1,15:18:22.774580745,15:18:22.776623954
go-tcp-dockerfinish-clientB-1,15:20:34.464529942,15:20:34.466095126
go-tcp-dockerfinish-clientA-1,15:20:32.727388145,15:20:34.466091448
go-tcp-dockerfinish-clientA-1,15:22:44.519106503,15:22:46.370937041
go-tcp-dockerfinish-clientB-1,15:22:46.369359638,15:22:46.371148928
go-tcp-dockerfinish-clientB-1,15:24:57.788617666,15:24:57.790863386
go-tcp-dockerfinish-clientA-1,15:24:56.014316942,15:24:57.790654557
go-tcp-dockerfinish-clientB-1,15:27:09.447475941,15:27:09.449137601
go-tcp-dockerfinish-clientA-1,15:27:07.722557264,15:27:09.449373566
go-tcp-dockerfinish-clientB-1,15:29:21.552988951,15:29:21.555097345
go-tcp-dockerfinish-clientA-1,15:29:19.674918879,15:29:21.554406036
go-tcp-dockerfinish-clientB-1,15:31:32.595471543,15:31:32.59849204
go-tcp-dockerfinish-clientA-1,15:31:30.886035808,15:31:32.598440556
go-tcp-dockerfinish-clientB-1,15:33:47.202810091,15:33:47.204256227
go-tcp-dockerfinish-clientA-1,15:33:44.766197663,15:33:47.203674368
go-tcp-dockerfinish-clientA-1,15:35:54.827011736,15:35:56.471313649
go-tcp-dockerfinish-clientB-1,15:35:56.470311927,15:35:56.471575701
go-tcp-dockerfinish-clientB-1,15:38:07.966288666,15:38:07.967655269
go-tcp-dockerfinish-clientA-1,15:38:06.058557193,15:38:07.967403558
go-tcp-dockerfinish-clientB-1,15:40:19.91915283,15:40:19.92199791
go-tcp-dockerfinish-clientA-1,15:40:18.074319249,15:40:19.922050235
go-tcp-dockerfinish-clientB-1,15:42:31.756775224,15:42:31.759589721
go-tcp-dockerfinish-clientA-1,15:42:29.900057829,15:42:31.759591785
go-tcp-dockerfinish-clientB-1,15:44:43.250336336,15:44:43.251930001
go-tcp-dockerfinish-clientA-1,15:44:41.618868283,15:44:43.251489587
go-tcp-dockerfinish-clientB-1,15:46:54.976705278,15:46:54.979120828
go-tcp-dockerfinish-clientA-1,15:46:53.084122003,15:46:54.979152559
go-tcp-dockerfinish-clientB-1,15:49:06.935528782,15:49:06.937355541
go-tcp-dockerfinish-clientA-1,15:49:04.969451216,15:49:06.936864615
go-tcp-dockerfinish-clientA-1,15:51:16.553377162,15:51:18.019408743
go-tcp-dockerfinish-clientB-1,15:51:18.016576856,15:51:18.019420666
go-tcp-dockerfinish-clientA-1,15:53:28.228775966,15:53:30.095842421
go-tcp-dockerfinish-clientB-1,15:53:30.093688485,15:53:30.095932498
go-tcp-dockerfinish-clientB-1,15:55:41.812574557,15:55:41.815553753
go-tcp-dockerfinish-clientA-1,15:55:39.991384743,15:55:41.815024834
