,Time,HolepunchTime
0,2023-10-20 03:20:30,6.77179
1,2023-10-20 03:22:39,5.069618
2,2023-10-20 03:24:50,4.130283
3,2023-10-20 03:27:03,15.106461
4,2023-10-20 03:29:15,8.254378
5,2023-10-20 03:31:26,5.692876
6,2023-10-20 03:33:39,3.621312
7,2023-10-20 03:35:51,7.44309
8,2023-10-20 03:38:03,4.087242
9,2023-10-20 03:40:14,5.01312
10,2023-10-20 03:42:26,7.76368
11,2023-10-20 03:44:37,3.556606
12,2023-10-20 03:46:48,5.981596
13,2023-10-20 03:49:00,4.057634
14,2023-10-20 03:51:13,8.571854
15,2023-10-20 03:53:25,7.837887
16,2023-10-20 03:55:37,10.733509
17,2023-10-20 03:57:48,5.739661
18,2023-10-20 04:00:00,10.301646
19,2023-10-20 04:02:12,4.099238
20,2023-10-20 04:04:24,4.521791
21,2023-10-20 04:06:35,5.361813
22,2023-10-20 04:08:47,5.179377
23,2023-10-20 04:10:59,4.1677
24,2023-10-20 04:13:11,4.347936
25,2023-10-20 04:15:22,4.441653
26,2023-10-20 04:17:34,4.229134
27,2023-10-20 04:19:46,5.124498
28,2023-10-20 04:21:58,4.972719
29,2023-10-20 04:24:10,8.519045
30,2023-10-20 04:26:21,6.133767
31,2023-10-20 04:28:32,9.329068
32,2023-10-20 04:30:44,23.671279
33,2023-10-20 04:32:57,6.689933
34,2023-10-20 04:35:08,4.496378
35,2023-10-20 04:37:20,9.256539
36,2023-10-20 04:39:32,6.034827
37,2023-10-20 04:41:43,13.930066
38,2023-10-20 04:43:54,4.234947
39,2023-10-20 04:46:07,8.684158
40,2023-10-20 04:48:18,3.562072
41,2023-10-20 04:50:30,3.40407
42,2023-10-20 04:52:41,3.855218
43,2023-10-20 04:54:54,9.067179
44,2023-10-20 04:57:05,6.491034
45,2023-10-20 04:59:18,3.6128
46,2023-10-20 05:01:29,5.075087
47,2023-10-20 05:03:42,5.358169
48,2023-10-20 05:05:53,4.624624
49,2023-10-20 05:08:04,10.811529
50,2023-10-20 05:10:16,5.543973
51,2023-10-20 05:12:28,4.178707
52,2023-10-20 05:14:41,9.936461
53,2023-10-20 05:16:51,4.408229
54,2023-10-20 05:19:04,4.278071
55,2023-10-20 05:21:15,4.341692
56,2023-10-20 05:23:27,28.503127
57,2023-10-20 05:25:39,4.092012
58,2023-10-20 05:27:51,10.926137
59,2023-10-20 05:30:03,4.791854
60,2023-10-20 05:32:16,8.950387
61,2023-10-20 05:34:27,9.694397
62,2023-10-20 05:36:42,7.182064
63,2023-10-20 05:38:52,9.860232
64,2023-10-20 05:41:07,6.184348
65,2023-10-20 05:43:16,4.665769
66,2023-10-20 05:45:30,3.520843
67,2023-10-20 05:47:39,4.242349
68,2023-10-20 05:49:53,7.48124
69,2023-10-20 05:52:02,4.028243
70,2023-10-20 05:54:16,8.939739
71,2023-10-20 05:56:27,6.234774
72,2023-10-20 05:58:38,5.55162
73,2023-10-20 06:00:51,205.278275
74,2023-10-20 06:03:03,4.212862
75,2023-10-20 06:05:20,4.756084
76,2023-10-20 06:07:28,7.764888
77,2023-10-20 06:09:39,25.758571
78,2023-10-20 06:11:51,4.061437
79,2023-10-20 06:14:04,3.883832
80,2023-10-20 06:16:17,9.709842
81,2023-10-20 06:18:28,11.843437
82,2023-10-20 06:20:40,28.630796
83,2023-10-20 06:22:53,7.167076
84,2023-10-20 06:25:04,10.27028
85,2023-10-20 06:27:15,6.046288
86,2023-10-20 06:29:26,4.617659
87,2023-10-20 06:31:38,4.270159
88,2023-10-20 06:33:51,5.024768
89,2023-10-20 06:36:02,6.176898
90,2023-10-20 06:38:14,5.798602
91,2023-10-20 06:40:26,9.806593
92,2023-10-20 06:42:38,207.786783
93,2023-10-20 06:44:50,4.576602
94,2023-10-20 06:47:02,20.027094
95,2023-10-20 06:49:13,7.165659
96,2023-10-20 06:51:25,7.390705
97,2023-10-20 06:53:36,4.184514
98,2023-10-20 06:55:48,6.675014
99,2023-10-20 06:58:00,4.000117
