StartTime,EndTime,HolepunchTime
0 days 10:07:42.760399106,10:07:42.975620573,215.221467
0 days 10:09:54.216296673,10:09:54.431002525,214.705852
0 days 10:12:11.260568010,10:12:11.47981743,219.24942
0 days 10:14:20.256137905,10:14:20.475769282,219.631377
0 days 10:16:33.520942691,10:16:33.753116793,232.174102
0 days 10:18:46.000239843,10:18:47.101448673,1101.20883
0 days 10:20:57.496421931,10:20:57.754401078,257.979147
0 days 10:23:12.914737686,10:23:13.123372681,208.634995
0 days 10:25:23.010401961,10:25:23.315594622,305.192661
0 days 10:27:33.489175986,10:27:33.697500111,208.324125
0 days 10:29:47.472769020,10:29:47.69117217,218.40315
0 days 10:31:59.253782164,10:31:59.50028858,246.506416
0 days 10:34:11.804172040,10:34:12.011442246,207.270206
0 days 10:36:23.499007325,10:36:23.740405403,241.398078
0 days 10:38:35.868916105,10:38:36.077727178,208.811073
0 days 10:40:48.107631275,10:40:48.349261549,241.630274
0 days 10:43:01.111424756,10:43:01.326429189,215.004433
0 days 10:45:13.059931785,10:45:13.33772201,277.790225
0 days 10:47:24.953752412,10:47:25.184976166,231.223754
0 days 10:49:37.802468877,10:49:38.03181705,229.348173
0 days 10:51:49.748261446,10:51:49.997799196,249.53775
0 days 10:54:02.099526949,10:54:02.329721444,230.194495
0 days 10:56:14.989711321,10:56:15.215685544,225.974223
0 days 10:58:25.898872143,10:58:26.174992034,276.119891
0 days 11:00:39.053132602,11:00:39.512811294,459.678692
0 days 11:02:49.992160720,11:02:50.224874451,232.713731
0 days 11:05:03.365206656,11:05:03.574063631,208.856975
0 days 11:07:15.154757158,11:07:15.380191037,225.433879
0 days 11:09:26.734878221,11:09:26.941992169,207.113948
0 days 11:11:38.519999036,11:11:38.73986799,219.868954
0 days 11:13:51.105239783,11:13:51.324012816,218.773033
0 days 11:16:03.367360280,11:16:03.574800639,207.440359
0 days 11:18:13.983995723,11:18:14.198891767,214.896044
0 days 11:20:25.485036956,11:20:25.699772303,214.735347
0 days 11:22:38.148902790,11:22:38.587455014,438.552224
0 days 11:24:49.679927901,11:24:49.889119371,209.19147
0 days 11:27:01.328643436,11:27:01.538267049,209.623613
0 days 11:29:14.081485207,11:29:14.290788303,209.303096
0 days 11:31:26.099459058,11:31:26.325131562,225.672504
0 days 11:33:36.375718783,11:33:36.594340098,218.621315
0 days 11:35:48.695222896,11:35:49.111297598,416.074702
0 days 11:38:01.204367956,11:38:01.415171486,210.80353
0 days 11:40:12.665537469,11:40:12.875098939,209.56147
0 days 11:42:24.003598979,11:42:24.224904627,221.305648
