StartTime,EndTime,HolepunchTime
0 days 06:00:08.197994110,06:00:08.429289386,231.295276
0 days 06:02:19.107421817,06:02:19.318517683,211.095866
0 days 06:04:30.349994002,06:04:30.579585251,229.591249
0 days 06:06:43.269651142,06:06:43.477833981,208.182839
0 days 06:08:54.543010624,06:08:54.750884292,207.873668
0 days 06:11:06.555634419,06:11:06.764254868,208.620449
0 days 06:13:18.074656886,06:13:18.287454487,212.797601
0 days 06:15:29.245233257,06:15:29.456165164,210.931907
0 days 06:17:40.934481662,06:17:41.149148915,214.667253
0 days 06:19:52.966470585,06:19:53.176553829,210.083244
0 days 06:22:05.222756879,06:22:05.433063743,210.306864
0 days 06:24:16.011585452,06:24:16.228466902,216.88145
0 days 06:26:32.127228069,06:26:32.337525993,210.297924
0 days 06:28:40.252785795,06:28:40.465881179,213.095384
0 days 06:30:53.855757569,06:30:54.073866647,218.109078
0 days 06:33:06.727724450,06:33:06.94013092,212.40647
0 days 06:35:16.332529834,06:35:16.585048311,252.518477
0 days 06:37:28.421284552,06:37:28.629362638,208.078086
0 days 06:39:40.294628907,06:39:40.51139418,216.765273
0 days 06:41:51.433698432,06:41:51.650032929,216.334497
0 days 06:44:03.362999623,06:44:03.598095557,235.095934
0 days 06:46:15.346359646,06:46:15.560560446,214.2008
0 days 06:48:27.071147767,06:48:27.283327674,212.179907
0 days 06:50:39.174943596,06:50:39.383919364,208.975768
0 days 06:52:49.727635641,06:52:49.947893754,220.258113
0 days 06:55:02.680442222,06:55:02.959147288,278.705066
0 days 06:57:14.148244046,06:57:14.357141553,208.897507
0 days 06:59:25.611624356,06:59:25.823184496,211.56014
0 days 07:01:37.462381759,07:01:37.673960232,211.578473
0 days 07:03:49.670562238,07:03:49.881740072,211.177834
0 days 07:06:01.244071366,07:06:01.452874158,208.802792
0 days 07:08:12.399178322,07:08:12.812824792,413.64647
0 days 07:10:24.257810656,07:10:24.46676923,208.958574
0 days 07:12:35.986984373,07:12:36.195383477,208.399104
0 days 07:14:48.379212906,07:14:48.594310425,215.097519
0 days 07:16:59.374406296,07:16:59.589418127,215.011831
0 days 07:19:13.070398311,07:19:13.477151392,406.753081
0 days 07:21:24.726383397,07:21:24.936301792,209.918395
0 days 07:23:37.355953309,07:23:37.766423647,410.470338
0 days 07:25:48.888921730,07:25:49.104708248,215.786518
0 days 07:28:03.382413726,07:28:03.831886234,449.472508
0 days 07:30:12.966221510,07:30:13.173523347,207.301837
0 days 07:32:25.195565047,07:32:25.410621414,215.056367
0 days 07:34:36.975766811,07:34:37.388222872,412.456061
0 days 07:36:49.372666190,07:36:49.583526298,210.860108
0 days 07:39:01.659287605,07:39:01.874874547,215.586942
0 days 07:41:14.085888245,07:41:14.298714616,212.826371
0 days 07:43:24.967845352,07:43:25.176754267,208.908915
0 days 07:45:37.899498256,07:45:38.108796133,209.297877
0 days 07:47:49.216207677,07:47:49.434112641,217.904964
0 days 07:50:00.716065463,07:50:00.925380609,209.315146
0 days 07:52:13.018296585,07:52:13.22831361,210.017025
0 days 07:54:24.700698553,07:54:24.908517051,207.818498
0 days 07:56:36.935967917,07:56:37.149605014,213.637097
0 days 07:58:47.980959543,07:58:48.203049841,222.090298
0 days 08:00:59.402392076,08:00:59.614071126,211.67905
0 days 08:03:12.055775293,08:03:12.294945052,239.169759
0 days 08:05:24.524231725,08:05:24.733986855,209.75513
0 days 08:07:35.579172817,08:07:35.786985228,207.812411
0 days 08:09:48.117918567,08:09:48.335951296,218.032729
0 days 08:12:01.111402338,08:12:01.317461253,206.058915
0 days 08:14:12.547948890,08:14:12.758089991,210.141101
0 days 08:16:23.825300804,08:16:24.042048942,216.748138
0 days 08:18:36.537625209,08:18:36.747273936,209.648727
0 days 08:20:48.055549381,08:20:48.274584087,219.034706
0 days 08:22:59.704778845,08:22:59.918713218,213.934373
0 days 08:25:12.376006524,08:25:12.785151699,409.145175
0 days 08:27:23.859665660,08:27:24.069626904,209.961244
0 days 08:29:35.525901581,08:29:35.747185181,221.2836
0 days 08:31:47.646045547,08:31:47.853913613,207.868066
0 days 08:33:59.342044813,08:33:59.552625483,210.58067
0 days 08:36:11.585374698,08:36:11.792919297,207.544599
0 days 08:38:24.599784998,08:38:24.810818275,211.033277
0 days 08:40:35.492986736,08:40:35.702462698,209.475962
0 days 08:42:47.768373093,08:42:47.975917838,207.544745
0 days 08:44:59.795191318,08:45:00.004060172,208.868854
0 days 08:47:12.940478465,08:47:13.1501158,209.637335
0 days 08:49:23.228465093,08:49:23.443524426,215.059333
0 days 08:51:36.337560589,08:51:36.612523005,274.962416
0 days 08:53:47.686436835,08:53:47.893976447,207.539612
0 days 08:55:59.811238653,08:56:00.025643566,214.404913
0 days 08:58:12.368336858,08:58:12.830029175,461.692317
0 days 09:00:23.309570299,09:00:23.720685575,411.115276
0 days 09:02:36.069440293,09:02:36.289224518,219.784225
0 days 09:04:47.745011085,09:04:47.954543286,209.532201
0 days 09:06:59.155211438,09:06:59.374783312,219.571874
0 days 09:09:11.062376267,09:09:11.283347247,220.97098
0 days 09:11:23.225741005,09:11:23.447021628,221.280623
0 days 09:13:34.507528819,09:13:34.717302874,209.774055
0 days 09:15:48.021079722,09:15:48.242914179,221.834457
0 days 09:18:00.331201979,09:18:00.542474007,211.272028
0 days 09:20:10.854489381,09:20:11.062183287,207.693906
0 days 09:22:23.150460271,09:22:23.357078771,206.6185
0 days 09:24:34.568196278,09:24:34.77608165,207.885372
0 days 09:26:46.389565940,09:26:46.596293998,206.728058
0 days 09:28:57.862465049,09:28:58.074457537,211.992488
0 days 09:31:09.274135295,09:31:09.491093735,216.95844
0 days 09:33:21.802955281,09:33:22.010063253,207.107972
0 days 09:35:34.257432829,09:35:34.468133219,210.70039
0 days 09:37:45.653045513,09:37:45.859597552,206.552039
