StartTime,EndTime,HolepunchTime
0 days 01:32:02.266475399,01:32:02.27130162,4.826221
0 days 01:34:12.738446426,01:34:12.744701402,6.254976
0 days 01:36:24.465099425,01:36:24.472098609,6.999184
0 days 01:38:36.054549100,01:38:36.063351233,8.802133
0 days 01:40:47.259352834,01:40:47.265158629,5.805795
0 days 01:42:59.966063425,01:42:59.972419449,6.356024
0 days 01:45:12.290750036,01:45:12.297545936,6.7959
0 days 01:47:23.401041612,01:47:23.407763535,6.721923
0 days 01:49:35.664051225,01:49:35.670623078,6.571853
0 days 01:51:51.049874465,01:51:51.060370441,10.495976
0 days 01:53:59.782010490,01:53:59.788485733,6.475243
0 days 01:56:11.079441284,01:56:11.085377275,5.935991
0 days 01:58:22.862082263,01:58:22.868689974,6.607711
0 days 02:00:34.489269305,02:00:34.497593905,8.3246
0 days 02:02:46.553124522,02:02:46.559032363,5.907841
0 days 02:04:57.890939484,02:04:57.897026925,6.087441
0 days 02:07:09.726223484,02:07:09.734907363,8.683879
0 days 02:09:21.949215955,02:09:21.957327216,8.111261
0 days 02:11:33.313167669,02:11:33.330602761,17.435092
0 days 02:13:45.595914117,02:13:45.601404542,5.490425
0 days 02:15:57.602495850,02:15:57.610565991,8.070141
0 days 02:18:07.948307013,02:18:07.957355923,9.04891
0 days 02:20:19.928066255,02:20:19.933359264,5.293009
0 days 02:22:31.273096480,02:22:31.280641661,7.545181
0 days 02:24:43.225625284,02:24:43.231834133,6.208849
0 days 02:26:54.564143725,02:26:54.57088378,6.740055
0 days 02:29:06.929079667,02:29:06.934724148,5.644481
0 days 02:31:19.846939961,02:31:19.854280837,7.340876
0 days 02:33:32.202222271,02:33:32.208264305,6.042034
0 days 02:35:44.500559610,02:35:44.505380246,4.820636
0 days 02:37:54.633266727,02:37:54.642828889,9.562162
0 days 02:40:07.441205573,02:40:07.446216577,5.011004
0 days 02:42:18.513183609,02:42:18.524028705,10.845096
0 days 02:44:30.302222932,02:44:30.308447626,6.224694
0 days 02:46:40.922430665,02:46:40.929078299,6.647634
0 days 02:48:53.055195630,02:48:53.060580023,5.384393
0 days 02:51:04.963146022,02:51:04.968636881,5.490859
0 days 02:53:16.378534104,02:53:16.385409815,6.875711
0 days 02:55:27.847740573,02:55:27.853402552,5.661979
0 days 02:57:39.793078349,02:57:39.799304023,6.225674
0 days 02:59:52.566689913,02:59:52.572247528,5.557615
0 days 03:02:04.411249793,03:02:04.417095891,5.846098
0 days 03:04:17.650356191,03:04:17.657695424,7.339233
0 days 03:06:27.591258247,03:06:27.596823643,5.565396
0 days 03:08:39.913205474,03:08:39.92004434,6.838866
0 days 03:10:51.583466917,03:10:51.588111177,4.64426
0 days 03:13:02.817029016,03:13:02.821976394,4.947378
0 days 03:15:15.308466123,03:15:15.314061446,5.595323
0 days 03:17:27.527617033,03:17:27.532797663,5.18063
0 days 03:19:38.415304938,03:19:38.42340308,8.098142
0 days 03:21:50.609297195,03:21:50.614352818,5.055623
0 days 03:24:02.362258263,03:24:02.367314062,5.055799
0 days 03:26:16.415894334,03:26:16.421412268,5.517934
0 days 03:28:27.169684858,03:28:27.174972918,5.28806
0 days 03:30:38.839185339,03:30:38.848182072,8.996733
0 days 03:32:50.472356709,03:32:50.477498274,5.141565
0 days 03:35:01.932652167,03:35:01.937965954,5.313787
0 days 03:37:13.540218346,03:37:13.547175078,6.956732
0 days 03:39:25.403831381,03:39:25.408279955,4.448574
0 days 03:41:36.753473727,03:41:36.759479131,6.005404
0 days 03:43:48.061568335,03:43:48.067226213,5.657878
0 days 03:46:01.708519336,03:46:01.715622651,7.103315
0 days 03:48:13.509155450,03:48:13.514820949,5.665499
0 days 03:50:25.722964795,03:50:25.736755276,13.790481
0 days 03:52:36.905522596,03:52:36.916178971,10.656375
