StartTime,EndTime,HolepunchTime
0 days 02:58:13.901088282,02:58:13.902201558,1.113276
0 days 03:00:26.835315154,03:00:26.839583106,4.267952
0 days 03:02:38.489899598,03:02:38.492538864,2.639266
0 days 03:04:50.430006842,03:04:50.430959012,0.95217
0 days 03:07:03.009055519,03:07:03.010470308,1.414789
0 days 03:09:14.939820420,03:09:14.940693591,0.873171
0 days 03:11:26.459088113,03:11:26.460544751,1.456638
0 days 03:13:38.598565856,03:13:38.599999384,1.433528
0 days 03:15:50.994984417,03:15:50.99614254,1.158123
0 days 03:18:02.732866316,03:18:02.733576843,0.710527
0 days 03:20:18.487473861,03:20:18.489745851,2.27199
0 days 03:22:26.519937408,03:22:26.521498018,1.56061
0 days 03:24:41.624257160,03:24:41.625235877,0.978717
0 days 03:26:49.889911536,03:26:49.891112561,1.201025
0 days 03:29:02.062169107,03:29:02.063507518,1.338411
0 days 03:31:14.008697490,03:31:14.009639641,0.942151
0 days 03:33:28.084468297,03:33:28.08615012,1.681823
0 days 03:35:39.266221087,03:35:39.267266005,1.044918
0 days 03:37:49.767522577,03:37:49.768659587,1.13701
0 days 03:40:01.764621875,03:40:01.766007978,1.386103
0 days 03:42:14.506390639,03:42:14.508948854,2.558215
0 days 03:44:26.113114186,03:44:26.113879348,0.765162
0 days 03:46:37.919151768,03:46:37.92010949,0.957722
0 days 03:48:49.360868069,03:48:49.363403631,2.535562
0 days 03:51:01.495831905,03:51:01.496951646,1.119741
0 days 03:53:12.892922078,03:53:12.894378451,1.456373
0 days 03:55:25.109843049,03:55:25.110759398,0.916349
0 days 03:57:36.237727331,03:57:36.239853583,2.126252
0 days 03:59:47.882730492,03:59:47.887746157,5.015665
0 days 04:02:00.103411956,04:02:00.105185125,1.773169
0 days 04:04:11.977913150,04:04:11.980929576,3.016426
0 days 04:06:23.009410651,04:06:23.010707734,1.297083
0 days 04:08:35.220615363,04:08:35.226885846,6.270483
0 days 04:10:47.763612587,04:10:47.765090186,1.477599
0 days 04:12:59.291927363,04:12:59.292621218,0.693855
0 days 04:15:10.760940213,04:15:10.762047194,1.106981
0 days 04:17:23.258805383,04:17:23.264228451,5.423068
0 days 04:19:35.243777544,04:19:35.250895905,7.118361
0 days 04:21:48.123597897,04:21:48.124322602,0.724705
0 days 04:23:59.010903413,04:23:59.035889588,24.986175
0 days 04:26:10.614558266,04:26:10.615175992,0.617726
0 days 04:28:22.137582508,04:28:22.140968471,3.385963
0 days 04:30:34.172617015,04:30:34.174675691,2.058676
0 days 04:32:45.673275845,04:32:45.680108224,6.832379
0 days 04:34:57.990421275,04:34:57.992322759,1.901484
0 days 04:37:09.892104391,04:37:09.895364632,3.260241
0 days 04:39:21.817744931,04:39:21.820386522,2.641591
0 days 04:41:33.506906130,04:41:33.507701758,0.795628
