StartTime,EndTime,HolepunchTime
0 days 10:07:35.071438110,10:07:35.323804597,252.366487
0 days 10:09:46.162069522,10:09:46.42012393,258.054408
0 days 10:11:57.853242414,10:11:58.110087632,256.845218
0 days 10:14:11.406286913,10:14:11.679834334,273.547421
0 days 10:16:23.605155694,10:16:23.858715531,253.559837
0 days 10:18:35.149071389,10:18:35.405961231,256.889842
0 days 10:20:48.430335487,10:20:48.68337387,253.038383
0 days 10:23:00.691382304,10:23:00.944407763,253.025459
0 days 10:25:12.386968229,10:25:12.646943201,259.974972
0 days 10:27:24.373747978,10:27:24.628004016,254.256038
0 days 10:29:37.324588663,10:29:37.581094679,256.506016
0 days 10:31:48.564063612,10:31:48.821169317,257.105705
0 days 10:34:04.812922919,10:34:05.066805515,253.882596
0 days 10:36:12.871081560,10:36:13.136503737,265.422177
0 days 10:38:26.076404464,10:38:26.333390504,256.98604
0 days 10:40:37.625225830,10:40:38.884311871,1259.086041
0 days 10:42:50.113261124,10:42:50.380457721,267.196597
0 days 10:45:03.565421452,10:45:03.822695065,257.273613
0 days 10:47:14.698935046,10:47:14.966095351,267.160305
0 days 10:49:27.681279664,10:49:27.939431734,258.15207
0 days 10:51:39.435033615,10:51:40.706219655,1271.18604
0 days 10:53:51.708674376,10:53:51.965421879,256.747503
0 days 10:56:03.697491720,10:56:03.950630749,253.139029
0 days 10:58:16.614073737,10:58:16.87697842,262.904683
0 days 11:00:28.739389080,11:00:29.013737953,274.348873
0 days 11:02:40.748735034,11:02:41.022475514,273.74048
0 days 11:04:52.231858263,11:04:52.486288356,254.430093
0 days 11:07:05.446036658,11:07:05.705649683,259.613025
0 days 11:09:17.855371724,11:09:18.110959418,255.587694
0 days 11:11:28.477774911,11:11:28.732152411,254.3775
0 days 11:13:40.134767491,11:13:41.409172809,1274.405318
0 days 11:15:51.656182821,11:15:51.911352526,255.169705
0 days 11:18:03.924886484,11:18:04.182440801,257.554317
0 days 11:20:16.253460941,11:20:16.507477202,254.016261
0 days 11:22:28.361801527,11:22:28.623149776,261.348249
0 days 11:24:39.727108450,11:24:39.979573523,252.465073
0 days 11:26:51.539205504,11:26:51.794044458,254.838954
0 days 11:29:03.271140489,11:29:03.52528922,254.148731
0 days 11:31:15.212718364,11:31:15.468290467,255.572103
0 days 11:33:29.374767406,11:33:29.629896434,255.129028
0 days 11:35:38.702641053,11:35:38.956853384,254.212331
0 days 11:37:51.534867477,11:37:51.790128638,255.261161
0 days 11:40:02.287547465,11:40:02.543689148,256.141683
0 days 11:42:14.186112993,11:42:14.442010139,255.897146
0 days 11:44:26.475937444,11:44:26.730255079,254.317635
0 days 11:46:38.077721479,11:46:38.340861114,263.139635
0 days 11:48:49.784590056,11:48:50.356314796,571.72474
0 days 11:51:01.562250065,11:51:01.817885845,255.63578
0 days 11:53:13.318747727,11:53:13.573482311,254.734584
0 days 11:55:24.717222485,11:55:25.303738173,586.515688
0 days 11:57:37.256558060,11:57:37.516140766,259.582706
0 days 11:59:48.417676930,11:59:48.672434768,254.757838
0 days 12:02:01.127410640,12:02:01.390589533,263.178893
0 days 12:04:11.676556991,12:04:11.931273253,254.716262
0 days 12:06:24.078797846,12:06:24.339729691,260.931845
0 days 12:08:35.332441105,12:08:35.603141245,270.70014
0 days 12:10:47.214221524,12:10:47.469276835,255.055311
0 days 12:12:59.579778864,12:12:59.836908115,257.129251
0 days 12:15:10.673507886,12:15:10.928372117,254.864231
0 days 12:17:22.684805630,12:17:22.93902791,254.22228
0 days 12:19:34.748775026,12:19:35.00330748,254.532454
0 days 12:21:47.258065528,12:21:47.511981149,253.915621
0 days 12:23:58.526141684,12:23:58.780515319,254.373635
0 days 12:26:09.870520480,12:26:10.125961022,255.440542
0 days 12:28:21.919007657,12:28:22.174268838,255.261181
0 days 12:30:34.078574824,12:30:34.334651567,256.076743
0 days 12:32:45.376380038,12:32:45.632989616,256.609578
0 days 12:34:57.788804137,12:34:58.041200092,252.395955
0 days 12:37:10.021034411,12:37:10.274498688,253.464277
0 days 12:39:21.596254933,12:39:21.85062166,254.366727
0 days 12:41:32.914447994,12:41:33.168642448,254.194454
0 days 12:43:45.026128316,12:43:45.286451388,260.323072
0 days 12:45:56.552505496,12:45:56.804874934,252.369438
0 days 12:48:07.925256746,12:48:08.178585817,253.329071
0 days 12:50:20.618532825,12:50:20.873399178,254.866353
0 days 12:52:32.096086727,12:52:32.354087145,258.000418
0 days 12:54:43.567044442,12:54:43.821285316,254.240874
0 days 12:56:56.959178955,12:56:57.212977447,253.798492
0 days 12:59:07.282899157,12:59:07.540145358,257.246201
0 days 13:01:19.006507453,13:01:19.263748828,257.241375
0 days 13:03:31.796293321,13:03:32.049675519,253.382198
0 days 13:05:42.751701878,13:05:43.006959116,255.257238
0 days 13:07:53.928573294,13:07:54.183119701,254.546407
0 days 13:10:07.664975535,13:10:07.920584712,255.609177
0 days 13:12:17.666603241,13:12:17.92045287,253.849629
0 days 13:14:29.903893467,13:14:30.159924927,256.03146
0 days 13:16:41.076937639,13:16:41.331103687,254.166048
0 days 13:18:53.438828426,13:18:53.694683952,255.855526
0 days 13:21:05.413679193,13:21:05.666509324,252.830131
0 days 13:23:17.077011073,13:23:17.33213918,255.128107
0 days 13:25:28.335896952,13:25:28.593163119,257.266167
0 days 13:27:40.656751419,13:27:40.910759719,254.0083
0 days 13:29:53.580479422,13:29:53.83485679,254.377368
0 days 13:32:04.480730493,13:32:04.734733015,254.002522
0 days 13:34:16.124097527,13:34:16.378904044,254.806517
0 days 13:36:27.177488473,13:36:27.432303584,254.815111
0 days 13:38:39.544528924,13:38:40.801396887,1256.867963
0 days 13:40:51.191898622,13:40:51.448461575,256.562953
0 days 13:43:02.725807730,13:43:02.978826792,253.019062
0 days 13:45:14.310847934,13:45:14.565525492,254.677558
